 1.5915e+07(-0.0000e+00) 2.1219e-04(0.0000e+00) 2.1219e-02(-0.0000e+00) 1.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) -3.2461e+05(0.0000e+00) -4.3277e-06(0.0000e+00) -4.3277e-04(0.0000e+00)
 7.0736e-06(-1.0610e+01) 2.1219e-04(2.1214e-05) 2.1219e-02(-4.2433e-07) 1.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) -2.2150e-01(-2.2379e-01) -4.0326e-06(-3.9821e-06) -4.4755e-04(-4.4297e-04)
 1.7684e-06(-5.3052e+00) 2.1219e-04(4.2429e-05) 2.1219e-02(-8.4866e-07) 1.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) -2.2099e-01(-1.2296e-01) -3.1505e-06(-7.8553e-06) -4.9182e-04(-8.8388e-04)
 7.8595e-07(-3.5368e+00) 2.1219e-04(6.3643e-05) 2.1219e-02(-1.2730e-06) 1.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) -2.2013e-01(-9.4213e-02) -1.6912e-06(-1.1511e-05) -5.6530e-04(-1.3207e-03)
 4.4210e-07(-2.6526e+00) 2.1220e-04(8.4859e-05) 2.1219e-02(-1.6974e-06) 1.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) -2.1894e-01(-8.3437e-02) 3.2936e-07(-1.4845e-05) -6.6758e-04(-1.7514e-03)
 2.8294e-07(-2.1221e+00) 2.1220e-04(1.0607e-04) 2.1219e-02(-2.1217e-06) 1.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) -2.1741e-01(-7.9783e-02) 2.8896e-06(-1.7753e-05) -7.9799e-04(-2.1741e-03)
 1.9649e-07(-1.7684e+00) 2.1221e-04(1.2729e-04) 2.1219e-02(-2.5462e-06) 1.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) -2.1557e-01(-7.9631e-02) 5.9613e-06(-2.0137e-05) -9.5582e-04(-2.5868e-03)
 1.4436e-07(-1.5158e+00) 2.1222e-04(1.4851e-04) 2.1220e-02(-2.9706e-06) 1.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) -2.1342e-01(-8.1409e-02) 9.5121e-06(-2.1904e-05) -1.1401e-03(-2.9879e-03)
 1.1052e-07(-1.3263e+00) 2.1223e-04(1.6973e-04) 2.1220e-02(-3.3951e-06) 1.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) -2.1097e-01(-8.4330e-02) 1.3503e-05(-2.2966e-05) -1.3498e-03(-3.3756e-03)
 8.7328e-08(-1.1789e+00) 2.1224e-04(1.9094e-04) 2.1220e-02(-3.8196e-06) 1.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) -2.0823e-01(-8.7945e-02) 1.7893e-05(-2.3242e-05) -1.5837e-03(-3.7483e-03)
 7.0736e-08(-1.0610e+00) 2.1225e-04(2.1216e-04) 2.1221e-02(-4.2441e-06) 1.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) 0.0000e+00(0.0000e+00) -2.0522e-01(-9.1985e-02) 2.2635e-05(-2.2658e-05) -1.8405e-03(-4.1047e-03)
