 1.5915e+07(-0.0000e+00) 2.1219e-04(0.0000e+00) 2.1219e-02(-0.0000e+00)
 1.0710e-10(-4.1285e-02) 2.5931e-04(5.8373e-03) 2.2718e-02(-1.2502e-04)
 1.0627e-10(-4.1125e-02) 2.5972e-04(5.8633e-03) 2.2731e-02(-1.2564e-04)
 1.0545e-10(-4.0967e-02) 2.6014e-04(5.8893e-03) 2.2743e-02(-1.2627e-04)
 1.0464e-10(-4.0809e-02) 2.6055e-04(5.9153e-03) 2.2756e-02(-1.2690e-04)
 1.0384e-10(-4.0653e-02) 2.6097e-04(5.9414e-03) 2.2769e-02(-1.2753e-04)
 1.0305e-10(-4.0497e-02) 2.6139e-04(5.9675e-03) 2.2782e-02(-1.2816e-04)
 1.0226e-10(-4.0343e-02) 2.6182e-04(5.9936e-03) 2.2794e-02(-1.2879e-04)
 1.0149e-10(-4.0191e-02) 2.6224e-04(6.0198e-03) 2.2807e-02(-1.2943e-04)
 1.0073e-10(-4.0039e-02) 2.6267e-04(6.0461e-03) 2.2820e-02(-1.3007e-04)
 9.9971e-11(-3.9888e-02) 2.6310e-04(6.0723e-03) 2.2833e-02(-1.3071e-04)
 9.9224e-11(-3.9739e-02) 2.6353e-04(6.0987e-03) 2.2846e-02(-1.3135e-04)
 9.8485e-11(-3.9591e-02) 2.6397e-04(6.1250e-03) 2.2860e-02(-1.3199e-04)
 9.7754e-11(-3.9444e-02) 2.6441e-04(6.1514e-03) 2.2873e-02(-1.3264e-04)
 9.7031e-11(-3.9298e-02) 2.6485e-04(6.1779e-03) 2.2886e-02(-1.3329e-04)
 9.6316e-11(-3.9153e-02) 2.6529e-04(6.2044e-03) 2.2899e-02(-1.3394e-04)
 9.5609e-11(-3.9009e-02) 2.6574e-04(6.2309e-03) 2.2913e-02(-1.3459e-04)
 9.4910e-11(-3.8866e-02) 2.6618e-04(6.2575e-03) 2.2926e-02(-1.3524e-04)
 9.4219e-11(-3.8724e-02) 2.6664e-04(6.2842e-03) 2.2940e-02(-1.3590e-04)
 9.3535e-11(-3.8583e-02) 2.6709e-04(6.3108e-03) 2.2953e-02(-1.3656e-04)
 9.2858e-11(-3.8443e-02) 2.6754e-04(6.3376e-03) 2.2967e-02(-1.3722e-04)
 9.2189e-11(-3.8304e-02) 2.6800e-04(6.3643e-03) 2.2981e-02(-1.3788e-04)
 9.1527e-11(-3.8167e-02) 2.6846e-04(6.3911e-03) 2.2995e-02(-1.3854e-04)
 9.0872e-11(-3.8030e-02) 2.6893e-04(6.4180e-03) 2.3009e-02(-1.3921e-04)
 9.0224e-11(-3.7894e-02) 2.6939e-04(6.4449e-03) 2.3023e-02(-1.3988e-04)
 8.9583e-11(-3.7759e-02) 2.6986e-04(6.4719e-03) 2.3037e-02(-1.4055e-04)
 8.8949e-11(-3.7625e-02) 2.7033e-04(6.4989e-03) 2.3051e-02(-1.4122e-04)
 8.8321e-11(-3.7492e-02) 2.7080e-04(6.5259e-03) 2.3065e-02(-1.4190e-04)
 8.7700e-11(-3.7360e-02) 2.7128e-04(6.5530e-03) 2.3079e-02(-1.4257e-04)
 8.7086e-11(-3.7229e-02) 2.7176e-04(6.5802e-03) 2.3093e-02(-1.4325e-04)
 8.6478e-11(-3.7099e-02) 2.7224e-04(6.6073e-03) 2.3108e-02(-1.4393e-04)
 8.5876e-11(-3.6970e-02) 2.7273e-04(6.6346e-03) 2.3122e-02(-1.4462e-04)
 8.5281e-11(-3.6841e-02) 2.7321e-04(6.6619e-03) 2.3137e-02(-1.4530e-04)
 8.4692e-11(-3.6714e-02) 2.7370e-04(6.6892e-03) 2.3151e-02(-1.4599e-04)
 8.4109e-11(-3.6587e-02) 2.7420e-04(6.7166e-03) 2.3166e-02(-1.4668e-04)
 8.3532e-11(-3.6462e-02) 2.7469e-04(6.7440e-03) 2.3180e-02(-1.4738e-04)
 8.2961e-11(-3.6337e-02) 2.7519e-04(6.7715e-03) 2.3195e-02(-1.4807e-04)
 8.2395e-11(-3.6213e-02) 2.7569e-04(6.7990e-03) 2.3210e-02(-1.4877e-04)
 8.1836e-11(-3.6090e-02) 2.7619e-04(6.8266e-03) 2.3225e-02(-1.4947e-04)
 8.1282e-11(-3.5967e-02) 2.7670e-04(6.8543e-03) 2.3240e-02(-1.5017e-04)
 8.0734e-11(-3.5846e-02) 2.7721e-04(6.8820e-03) 2.3255e-02(-1.5087e-04)
 8.0191e-11(-3.5725e-02) 2.7772e-04(6.9097e-03) 2.3270e-02(-1.5158e-04)
 7.9654e-11(-3.5605e-02) 2.7823e-04(6.9375e-03) 2.3285e-02(-1.5229e-04)
 7.9122e-11(-3.5486e-02) 2.7875e-04(6.9653e-03) 2.3301e-02(-1.5300e-04)
 7.8595e-11(-3.5368e-02) 2.7927e-04(6.9932e-03) 2.3316e-02(-1.5371e-04)
 7.8074e-11(-3.5250e-02) 2.7980e-04(7.0212e-03) 2.3331e-02(-1.5443e-04)
 7.7557e-11(-3.5134e-02) 2.8032e-04(7.0492e-03) 2.3347e-02(-1.5515e-04)
 7.7046e-11(-3.5018e-02) 2.8085e-04(7.0772e-03) 2.3362e-02(-1.5587e-04)
 7.6540e-11(-3.4902e-02) 2.8138e-04(7.1053e-03) 2.3378e-02(-1.5659e-04)
 7.6039e-11(-3.4788e-02) 2.8192e-04(7.1335e-03) 2.3394e-02(-1.5732e-04)
 7.5543e-11(-3.4674e-02) 2.8246e-04(7.1617e-03) 2.3409e-02(-1.5805e-04)
 7.5052e-11(-3.4561e-02) 2.8300e-04(7.1899e-03) 2.3425e-02(-1.5878e-04)
 7.4565e-11(-3.4449e-02) 2.8354e-04(7.2182e-03) 2.3441e-02(-1.5951e-04)
 7.4083e-11(-3.4338e-02) 2.8409e-04(7.2466e-03) 2.3457e-02(-1.6025e-04)
 7.3606e-11(-3.4227e-02) 2.8464e-04(7.2750e-03) 2.3473e-02(-1.6099e-04)
 7.3134e-11(-3.4117e-02) 2.8519e-04(7.3035e-03) 2.3489e-02(-1.6173e-04)
 7.2666e-11(-3.4007e-02) 2.8575e-04(7.3321e-03) 2.3505e-02(-1.6247e-04)
 7.2202e-11(-3.3899e-02) 2.8630e-04(7.3607e-03) 2.3522e-02(-1.6322e-04)
 7.1743e-11(-3.3791e-02) 2.8687e-04(7.3893e-03) 2.3538e-02(-1.6397e-04)
 7.1288e-11(-3.3684e-02) 2.8743e-04(7.4180e-03) 2.3554e-02(-1.6472e-04)
 7.0838e-11(-3.3577e-02) 2.8800e-04(7.4468e-03) 2.3571e-02(-1.6548e-04)
 7.0391e-11(-3.3471e-02) 2.8857e-04(7.4756e-03) 2.3588e-02(-1.6623e-04)
 6.9949e-11(-3.3366e-02) 2.8915e-04(7.5045e-03) 2.3604e-02(-1.6699e-04)
 6.9511e-11(-3.3261e-02) 2.8972e-04(7.5334e-03) 2.3621e-02(-1.6776e-04)
 6.9078e-11(-3.3157e-02) 2.9030e-04(7.5624e-03) 2.3638e-02(-1.6852e-04)
 6.8648e-11(-3.3054e-02) 2.9089e-04(7.5914e-03) 2.3655e-02(-1.6929e-04)
 6.8222e-11(-3.2951e-02) 2.9148e-04(7.6205e-03) 2.3672e-02(-1.7006e-04)
 6.7800e-11(-3.2849e-02) 2.9207e-04(7.6497e-03) 2.3689e-02(-1.7083e-04)
 6.7383e-11(-3.2748e-02) 2.9266e-04(7.6789e-03) 2.3706e-02(-1.7161e-04)
 6.6969e-11(-3.2647e-02) 2.9326e-04(7.7082e-03) 2.3723e-02(-1.7239e-04)
 6.6558e-11(-3.2547e-02) 2.9386e-04(7.7376e-03) 2.3740e-02(-1.7317e-04)
 6.6152e-11(-3.2447e-02) 2.9446e-04(7.7670e-03) 2.3758e-02(-1.7396e-04)
 6.5749e-11(-3.2349e-02) 2.9507e-04(7.7964e-03) 2.3775e-02(-1.7475e-04)
 6.5350e-11(-3.2250e-02) 2.9568e-04(7.8260e-03) 2.3792e-02(-1.7554e-04)
 6.4955e-11(-3.2153e-02) 2.9629e-04(7.8555e-03) 2.3810e-02(-1.7633e-04)
 6.4563e-11(-3.2055e-02) 2.9691e-04(7.8852e-03) 2.3828e-02(-1.7713e-04)
 6.4174e-11(-3.1959e-02) 2.9753e-04(7.9149e-03) 2.3845e-02(-1.7793e-04)
 6.3789e-11(-3.1863e-02) 2.9815e-04(7.9447e-03) 2.3863e-02(-1.7873e-04)
 6.3408e-11(-3.1767e-02) 2.9878e-04(7.9745e-03) 2.3881e-02(-1.7954e-04)
 6.3030e-11(-3.1673e-02) 2.9941e-04(8.0044e-03) 2.3899e-02(-1.8035e-04)
 6.2655e-11(-3.1578e-02) 3.0004e-04(8.0344e-03) 2.3917e-02(-1.8116e-04)
 6.2284e-11(-3.1485e-02) 3.0068e-04(8.0644e-03) 2.3935e-02(-1.8197e-04)
 6.1916e-11(-3.1392e-02) 3.0132e-04(8.0945e-03) 2.3954e-02(-1.8279e-04)
 6.1551e-11(-3.1299e-02) 3.0196e-04(8.1246e-03) 2.3972e-02(-1.8361e-04)
 6.1190e-11(-3.1207e-02) 3.0261e-04(8.1549e-03) 2.3990e-02(-1.8444e-04)
 6.0832e-11(-3.1115e-02) 3.0326e-04(8.1851e-03) 2.4009e-02(-1.8526e-04)
 6.0476e-11(-3.1024e-02) 3.0392e-04(8.2155e-03) 2.4027e-02(-1.8609e-04)
 6.0124e-11(-3.0934e-02) 3.0458e-04(8.2459e-03) 2.4046e-02(-1.8693e-04)
 5.9775e-11(-3.0844e-02) 3.0524e-04(8.2764e-03) 2.4065e-02(-1.8777e-04)
 5.9429e-11(-3.0755e-02) 3.0590e-04(8.3069e-03) 2.4083e-02(-1.8861e-04)
 5.9086e-11(-3.0666e-02) 3.0657e-04(8.3375e-03) 2.4102e-02(-1.8945e-04)
 5.8746e-11(-3.0577e-02) 3.0725e-04(8.3682e-03) 2.4121e-02(-1.9030e-04)
 5.8409e-11(-3.0489e-02) 3.0792e-04(8.3990e-03) 2.4140e-02(-1.9115e-04)
 5.8075e-11(-3.0402e-02) 3.0860e-04(8.4298e-03) 2.4160e-02(-1.9200e-04)
 5.7743e-11(-3.0315e-02) 3.0929e-04(8.4606e-03) 2.4179e-02(-1.9286e-04)
 5.7415e-11(-3.0229e-02) 3.0998e-04(8.4916e-03) 2.4198e-02(-1.9372e-04)
 5.7089e-11(-3.0143e-02) 3.1067e-04(8.5226e-03) 2.4218e-02(-1.9458e-04)
 5.6766e-11(-3.0058e-02) 3.1136e-04(8.5537e-03) 2.4237e-02(-1.9545e-04)
 5.6446e-11(-2.9973e-02) 3.1206e-04(8.5849e-03) 2.4257e-02(-1.9632e-04)
 5.6128e-11(-2.9888e-02) 3.1277e-04(8.6161e-03) 2.4276e-02(-1.9719e-04)
 5.5813e-11(-2.9804e-02) 3.1347e-04(8.6474e-03) 2.4296e-02(-1.9807e-04)
 5.5501e-11(-2.9721e-02) 3.1418e-04(8.6788e-03) 2.4316e-02(-1.9895e-04)
 5.5191e-11(-2.9638e-02) 3.1490e-04(8.7102e-03) 2.4336e-02(-1.9984e-04)
 5.4884e-11(-2.9555e-02) 3.1562e-04(8.7417e-03) 2.4356e-02(-2.0072e-04)
 5.4580e-11(-2.9473e-02) 3.1634e-04(8.7733e-03) 2.4376e-02(-2.0162e-04)
 5.4278e-11(-2.9391e-02) 3.1707e-04(8.8050e-03) 2.4396e-02(-2.0251e-04)
 5.3978e-11(-2.9310e-02) 3.1780e-04(8.8367e-03) 2.4416e-02(-2.0341e-04)
 5.3681e-11(-2.9230e-02) 3.1853e-04(8.8685e-03) 2.4437e-02(-2.0431e-04)
 5.3387e-11(-2.9149e-02) 3.1927e-04(8.9004e-03) 2.4457e-02(-2.0522e-04)
 5.3095e-11(-2.9069e-02) 3.2001e-04(8.9323e-03) 2.4478e-02(-2.0613e-04)
 5.2805e-11(-2.8990e-02) 3.2076e-04(8.9643e-03) 2.4498e-02(-2.0704e-04)
 5.2518e-11(-2.8911e-02) 3.2151e-04(8.9964e-03) 2.4519e-02(-2.0796e-04)
 5.2233e-11(-2.8832e-02) 3.2227e-04(9.0286e-03) 2.4540e-02(-2.0888e-04)
 5.1950e-11(-2.8754e-02) 3.2303e-04(9.0609e-03) 2.4561e-02(-2.0981e-04)
 5.1669e-11(-2.8677e-02) 3.2379e-04(9.0932e-03) 2.4582e-02(-2.1073e-04)
 5.1391e-11(-2.8599e-02) 3.2456e-04(9.1256e-03) 2.4603e-02(-2.1167e-04)
 5.1115e-11(-2.8522e-02) 3.2533e-04(9.1581e-03) 2.4624e-02(-2.1260e-04)
 5.0842e-11(-2.8446e-02) 3.2611e-04(9.1906e-03) 2.4646e-02(-2.1354e-04)
 5.0570e-11(-2.8370e-02) 3.2689e-04(9.2233e-03) 2.4667e-02(-2.1449e-04)
 5.0301e-11(-2.8294e-02) 3.2767e-04(9.2560e-03) 2.4688e-02(-2.1544e-04)
 5.0034e-11(-2.8219e-02) 3.2846e-04(9.2888e-03) 2.4710e-02(-2.1639e-04)
 4.9769e-11(-2.8144e-02) 3.2926e-04(9.3217e-03) 2.4732e-02(-2.1735e-04)
 4.9506e-11(-2.8070e-02) 3.3005e-04(9.3546e-03) 2.4753e-02(-2.1831e-04)
 4.9245e-11(-2.7996e-02) 3.3086e-04(9.3876e-03) 2.4775e-02(-2.1927e-04)
 4.8986e-11(-2.7922e-02) 3.3166e-04(9.4207e-03) 2.4797e-02(-2.2024e-04)
 4.8729e-11(-2.7849e-02) 3.3247e-04(9.4539e-03) 2.4819e-02(-2.2121e-04)
 4.8474e-11(-2.7776e-02) 3.3329e-04(9.4872e-03) 2.4841e-02(-2.2219e-04)
 4.8221e-11(-2.7703e-02) 3.3411e-04(9.5206e-03) 2.4864e-02(-2.2317e-04)
 4.7971e-11(-2.7631e-02) 3.3494e-04(9.5540e-03) 2.4886e-02(-2.2416e-04)
 4.7722e-11(-2.7559e-02) 3.3577e-04(9.5875e-03) 2.4908e-02(-2.2515e-04)
 4.7475e-11(-2.7488e-02) 3.3660e-04(9.6211e-03) 2.4931e-02(-2.2614e-04)
 4.7230e-11(-2.7417e-02) 3.3744e-04(9.6548e-03) 2.4954e-02(-2.2714e-04)
 4.6987e-11(-2.7346e-02) 3.3828e-04(9.6886e-03) 2.4976e-02(-2.2814e-04)
 4.6745e-11(-2.7276e-02) 3.3913e-04(9.7224e-03) 2.4999e-02(-2.2915e-04)
 4.6506e-11(-2.7206e-02) 3.3998e-04(9.7564e-03) 2.5022e-02(-2.3016e-04)
 4.6268e-11(-2.7136e-02) 3.4084e-04(9.7904e-03) 2.5045e-02(-2.3117e-04)
 4.6033e-11(-2.7067e-02) 3.4170e-04(9.8245e-03) 2.5068e-02(-2.3219e-04)
 4.5799e-11(-2.6998e-02) 3.4257e-04(9.8587e-03) 2.5092e-02(-2.3322e-04)
 4.5566e-11(-2.6930e-02) 3.4344e-04(9.8930e-03) 2.5115e-02(-2.3425e-04)
 4.5336e-11(-2.6862e-02) 3.4432e-04(9.9274e-03) 2.5139e-02(-2.3528e-04)
 4.5107e-11(-2.6794e-02) 3.4520e-04(9.9618e-03) 2.5162e-02(-2.3632e-04)
 4.4880e-11(-2.6726e-02) 3.4609e-04(9.9964e-03) 2.5186e-02(-2.3736e-04)
 4.4655e-11(-2.6659e-02) 3.4698e-04(1.0031e-02) 2.5210e-02(-2.3841e-04)
 4.4432e-11(-2.6592e-02) 3.4788e-04(1.0066e-02) 2.5233e-02(-2.3946e-04)
 4.4210e-11(-2.6526e-02) 3.4878e-04(1.0101e-02) 2.5257e-02(-2.4052e-04)
 4.3989e-11(-2.6460e-02) 3.4969e-04(1.0135e-02) 2.5281e-02(-2.4158e-04)
 4.3771e-11(-2.6394e-02) 3.5060e-04(1.0170e-02) 2.5306e-02(-2.4265e-04)
 4.3554e-11(-2.6328e-02) 3.5152e-04(1.0206e-02) 2.5330e-02(-2.4372e-04)
 4.3339e-11(-2.6263e-02) 3.5244e-04(1.0241e-02) 2.5354e-02(-2.4479e-04)
 4.3125e-11(-2.6198e-02) 3.5337e-04(1.0276e-02) 2.5379e-02(-2.4587e-04)
 4.2913e-11(-2.6134e-02) 3.5430e-04(1.0311e-02) 2.5404e-02(-2.4696e-04)
 4.2702e-11(-2.6070e-02) 3.5524e-04(1.0347e-02) 2.5428e-02(-2.4805e-04)
 4.2493e-11(-2.6006e-02) 3.5618e-04(1.0382e-02) 2.5453e-02(-2.4915e-04)
 4.2285e-11(-2.5942e-02) 3.5713e-04(1.0418e-02) 2.5478e-02(-2.5025e-04)
 4.2079e-11(-2.5879e-02) 3.5809e-04(1.0454e-02) 2.5503e-02(-2.5135e-04)
 4.1875e-11(-2.5816e-02) 3.5905e-04(1.0490e-02) 2.5528e-02(-2.5246e-04)
 4.1672e-11(-2.5753e-02) 3.6001e-04(1.0526e-02) 2.5554e-02(-2.5358e-04)
 4.1470e-11(-2.5691e-02) 3.6098e-04(1.0562e-02) 2.5579e-02(-2.5470e-04)
 4.1270e-11(-2.5629e-02) 3.6196e-04(1.0598e-02) 2.5604e-02(-2.5583e-04)
 4.1072e-11(-2.5567e-02) 3.6294e-04(1.0634e-02) 2.5630e-02(-2.5696e-04)
 4.0874e-11(-2.5506e-02) 3.6393e-04(1.0670e-02) 2.5656e-02(-2.5810e-04)
 4.0679e-11(-2.5444e-02) 3.6492e-04(1.0707e-02) 2.5682e-02(-2.5924e-04)
 4.0484e-11(-2.5384e-02) 3.6592e-04(1.0743e-02) 2.5708e-02(-2.6039e-04)
 4.0291e-11(-2.5323e-02) 3.6692e-04(1.0780e-02) 2.5734e-02(-2.6154e-04)
 4.0100e-11(-2.5263e-02) 3.6793e-04(1.0817e-02) 2.5760e-02(-2.6270e-04)
 3.9909e-11(-2.5203e-02) 3.6895e-04(1.0853e-02) 2.5786e-02(-2.6386e-04)
 3.9720e-11(-2.5143e-02) 3.6997e-04(1.0890e-02) 2.5813e-02(-2.6503e-04)
 3.9533e-11(-2.5084e-02) 3.7100e-04(1.0927e-02) 2.5839e-02(-2.6620e-04)
 3.9346e-11(-2.5024e-02) 3.7203e-04(1.0964e-02) 2.5866e-02(-2.6739e-04)
 3.9162e-11(-2.4965e-02) 3.7307e-04(1.1002e-02) 2.5893e-02(-2.6857e-04)
 3.8978e-11(-2.4907e-02) 3.7411e-04(1.1039e-02) 2.5920e-02(-2.6976e-04)
 3.8796e-11(-2.4849e-02) 3.7517e-04(1.1076e-02) 2.5947e-02(-2.7096e-04)
 3.8614e-11(-2.4790e-02) 3.7622e-04(1.1114e-02) 2.5974e-02(-2.7216e-04)
 3.8435e-11(-2.4733e-02) 3.7729e-04(1.1152e-02) 2.6001e-02(-2.7337e-04)
 3.8256e-11(-2.4675e-02) 3.7836e-04(1.1189e-02) 2.6028e-02(-2.7459e-04)
 3.8079e-11(-2.4618e-02) 3.7943e-04(1.1227e-02) 2.6056e-02(-2.7581e-04)
 3.7903e-11(-2.4561e-02) 3.8051e-04(1.1265e-02) 2.6083e-02(-2.7703e-04)
 3.7728e-11(-2.4504e-02) 3.8160e-04(1.1303e-02) 2.6111e-02(-2.7827e-04)
 3.7554e-11(-2.4448e-02) 3.8270e-04(1.1342e-02) 2.6139e-02(-2.7951e-04)
 3.7382e-11(-2.4392e-02) 3.8380e-04(1.1380e-02) 2.6167e-02(-2.8075e-04)
 3.7210e-11(-2.4336e-02) 3.8490e-04(1.1418e-02) 2.6195e-02(-2.8200e-04)
 3.7040e-11(-2.4280e-02) 3.8602e-04(1.1457e-02) 2.6223e-02(-2.8326e-04)
 3.6871e-11(-2.4224e-02) 3.8714e-04(1.1495e-02) 2.6252e-02(-2.8452e-04)
 3.6704e-11(-2.4169e-02) 3.8826e-04(1.1534e-02) 2.6280e-02(-2.8579e-04)
 3.6537e-11(-2.4114e-02) 3.8940e-04(1.1573e-02) 2.6309e-02(-2.8707e-04)
 3.6371e-11(-2.4060e-02) 3.9054e-04(1.1612e-02) 2.6338e-02(-2.8835e-04)
 3.6207e-11(-2.4005e-02) 3.9168e-04(1.1651e-02) 2.6367e-02(-2.8964e-04)
 3.6044e-11(-2.3951e-02) 3.9284e-04(1.1690e-02) 2.6396e-02(-2.9093e-04)
 3.5882e-11(-2.3897e-02) 3.9400e-04(1.1730e-02) 2.6425e-02(-2.9223e-04)
 3.5721e-11(-2.3843e-02) 3.9516e-04(1.1769e-02) 2.6454e-02(-2.9354e-04)
 3.5561e-11(-2.3790e-02) 3.9634e-04(1.1809e-02) 2.6483e-02(-2.9485e-04)
 3.5402e-11(-2.3737e-02) 3.9752e-04(1.1848e-02) 2.6513e-02(-2.9617e-04)
 3.5244e-11(-2.3684e-02) 3.9871e-04(1.1888e-02) 2.6543e-02(-2.9750e-04)
 3.5087e-11(-2.3631e-02) 3.9990e-04(1.1928e-02) 2.6572e-02(-2.9884e-04)
 3.4931e-11(-2.3579e-02) 4.0110e-04(1.1968e-02) 2.6602e-02(-3.0018e-04)
 3.4776e-11(-2.3526e-02) 4.0231e-04(1.2008e-02) 2.6632e-02(-3.0152e-04)
 3.4623e-11(-2.3474e-02) 4.0353e-04(1.2048e-02) 2.6663e-02(-3.0288e-04)
 3.4470e-11(-2.3422e-02) 4.0475e-04(1.2089e-02) 2.6693e-02(-3.0424e-04)
 3.4318e-11(-2.3371e-02) 4.0598e-04(1.2129e-02) 2.6723e-02(-3.0561e-04)
 3.4168e-11(-2.3319e-02) 4.0722e-04(1.2170e-02) 2.6754e-02(-3.0698e-04)
 3.4018e-11(-2.3268e-02) 4.0846e-04(1.2211e-02) 2.6785e-02(-3.0837e-04)
 3.3869e-11(-2.3217e-02) 4.0971e-04(1.2252e-02) 2.6816e-02(-3.0976e-04)
 3.3721e-11(-2.3167e-02) 4.1097e-04(1.2293e-02) 2.6847e-02(-3.1115e-04)
 3.3575e-11(-2.3116e-02) 4.1224e-04(1.2334e-02) 2.6878e-02(-3.1256e-04)
 3.3429e-11(-2.3066e-02) 4.1352e-04(1.2375e-02) 2.6909e-02(-3.1397e-04)
 3.3284e-11(-2.3016e-02) 4.1480e-04(1.2416e-02) 2.6940e-02(-3.1539e-04)
 3.3140e-11(-2.2966e-02) 4.1609e-04(1.2458e-02) 2.6972e-02(-3.1681e-04)
 3.2997e-11(-2.2916e-02) 4.1739e-04(1.2500e-02) 2.7004e-02(-3.1825e-04)
 3.2855e-11(-2.2867e-02) 4.1869e-04(1.2541e-02) 2.7036e-02(-3.1969e-04)
 3.2714e-11(-2.2818e-02) 4.2000e-04(1.2583e-02) 2.7068e-02(-3.2113e-04)
 3.2574e-11(-2.2769e-02) 4.2133e-04(1.2625e-02) 2.7100e-02(-3.2259e-04)
 3.2434e-11(-2.2720e-02) 4.2265e-04(1.2667e-02) 2.7132e-02(-3.2405e-04)
 3.2296e-11(-2.2672e-02) 4.2399e-04(1.2710e-02) 2.7165e-02(-3.2553e-04)
 3.2158e-11(-2.2623e-02) 4.2534e-04(1.2752e-02) 2.7197e-02(-3.2701e-04)
 3.2022e-11(-2.2575e-02) 4.2669e-04(1.2795e-02) 2.7230e-02(-3.2849e-04)
 3.1886e-11(-2.2527e-02) 4.2805e-04(1.2837e-02) 2.7263e-02(-3.2999e-04)
 3.1751e-11(-2.2480e-02) 4.2942e-04(1.2880e-02) 2.7296e-02(-3.3149e-04)
 3.1617e-11(-2.2432e-02) 4.3080e-04(1.2923e-02) 2.7329e-02(-3.3300e-04)
 3.1483e-11(-2.2385e-02) 4.3219e-04(1.2966e-02) 2.7362e-02(-3.3452e-04)
 3.1351e-11(-2.2338e-02) 4.3358e-04(1.3010e-02) 2.7396e-02(-3.3605e-04)
 3.1219e-11(-2.2291e-02) 4.3499e-04(1.3053e-02) 2.7430e-02(-3.3758e-04)
 3.1089e-11(-2.2244e-02) 4.3640e-04(1.3097e-02) 2.7463e-02(-3.3913e-04)
 3.0959e-11(-2.2197e-02) 4.3782e-04(1.3140e-02) 2.7497e-02(-3.4068e-04)
 3.0830e-11(-2.2151e-02) 4.3925e-04(1.3184e-02) 2.7531e-02(-3.4224e-04)
 3.0701e-11(-2.2105e-02) 4.4069e-04(1.3228e-02) 2.7566e-02(-3.4381e-04)
 3.0574e-11(-2.2059e-02) 4.4213e-04(1.3272e-02) 2.7600e-02(-3.4539e-04)
 3.0447e-11(-2.2013e-02) 4.4359e-04(1.3316e-02) 2.7635e-02(-3.4698e-04)
 3.0321e-11(-2.1968e-02) 4.4505e-04(1.3361e-02) 2.7670e-02(-3.4857e-04)
 3.0196e-11(-2.1922e-02) 4.4653e-04(1.3405e-02) 2.7704e-02(-3.5017e-04)
 3.0071e-11(-2.1877e-02) 4.4801e-04(1.3450e-02) 2.7739e-02(-3.5179e-04)
 2.9948e-11(-2.1832e-02) 4.4950e-04(1.3495e-02) 2.7775e-02(-3.5341e-04)
 2.9825e-11(-2.1787e-02) 4.5101e-04(1.3540e-02) 2.7810e-02(-3.5504e-04)
 2.9703e-11(-2.1742e-02) 4.5252e-04(1.3585e-02) 2.7846e-02(-3.5668e-04)
 2.9581e-11(-2.1698e-02) 4.5404e-04(1.3630e-02) 2.7881e-02(-3.5833e-04)
 2.9461e-11(-2.1654e-02) 4.5557e-04(1.3676e-02) 2.7917e-02(-3.5999e-04)
 2.9341e-11(-2.1610e-02) 4.5711e-04(1.3721e-02) 2.7953e-02(-3.6165e-04)
 2.9222e-11(-2.1566e-02) 4.5865e-04(1.3767e-02) 2.7990e-02(-3.6333e-04)
 2.9103e-11(-2.1522e-02) 4.6021e-04(1.3813e-02) 2.8026e-02(-3.6502e-04)
 2.8986e-11(-2.1478e-02) 4.6178e-04(1.3859e-02) 2.8062e-02(-3.6671e-04)
 2.8869e-11(-2.1435e-02) 4.6336e-04(1.3905e-02) 2.8099e-02(-3.6842e-04)
 2.8752e-11(-2.1392e-02) 4.6495e-04(1.3952e-02) 2.8136e-02(-3.7013e-04)
 2.8637e-11(-2.1349e-02) 4.6654e-04(1.3998e-02) 2.8173e-02(-3.7186e-04)
 2.8522e-11(-2.1306e-02) 4.6815e-04(1.4045e-02) 2.8210e-02(-3.7359e-04)
 2.8408e-11(-2.1263e-02) 4.6977e-04(1.4092e-02) 2.8248e-02(-3.7533e-04)
 2.8294e-11(-2.1221e-02) 4.7140e-04(1.4139e-02) 2.8285e-02(-3.7709e-04)
 2.8181e-11(-2.1178e-02) 4.7304e-04(1.4186e-02) 2.8323e-02(-3.7885e-04)
 2.8069e-11(-2.1136e-02) 4.7469e-04(1.4233e-02) 2.8361e-02(-3.8063e-04)
 2.7958e-11(-2.1094e-02) 4.7635e-04(1.4281e-02) 2.8399e-02(-3.8241e-04)
 2.7847e-11(-2.1052e-02) 4.7802e-04(1.4329e-02) 2.8438e-02(-3.8421e-04)
 2.7737e-11(-2.1011e-02) 4.7970e-04(1.4377e-02) 2.8476e-02(-3.8601e-04)
 2.7627e-11(-2.0969e-02) 4.8139e-04(1.4425e-02) 2.8515e-02(-3.8783e-04)
 2.7518e-11(-2.0928e-02) 4.8309e-04(1.4473e-02) 2.8554e-02(-3.8965e-04)
 2.7410e-11(-2.0886e-02) 4.8480e-04(1.4521e-02) 2.8593e-02(-3.9149e-04)
 2.7302e-11(-2.0845e-02) 4.8653e-04(1.4570e-02) 2.8632e-02(-3.9334e-04)
 2.7196e-11(-2.0805e-02) 4.8826e-04(1.4618e-02) 2.8671e-02(-3.9520e-04)
 2.7089e-11(-2.0764e-02) 4.9001e-04(1.4667e-02) 2.8711e-02(-3.9707e-04)
 2.6983e-11(-2.0723e-02) 4.9177e-04(1.4716e-02) 2.8750e-02(-3.9895e-04)
 2.6878e-11(-2.0683e-02) 4.9353e-04(1.4765e-02) 2.8790e-02(-4.0084e-04)
 2.6774e-11(-2.0643e-02) 4.9531e-04(1.4815e-02) 2.8831e-02(-4.0274e-04)
