 1.5915e+07(-0.0000e+00) 2.1219e-04(0.0000e+00) 2.1219e-02(-0.0000e+00)
 2.0320e-09(-1.7984e-01) 2.1441e-04(1.2560e-03) 2.1293e-02(-2.5211e-05)
 1.9649e-09(-1.7684e-01) 2.1449e-04(1.2775e-03) 2.1295e-02(-2.5644e-05)
 1.9010e-09(-1.7394e-01) 2.1457e-04(1.2989e-03) 2.1298e-02(-2.6078e-05)
 1.8402e-09(-1.7113e-01) 2.1465e-04(1.3204e-03) 2.1300e-02(-2.6512e-05)
 1.7822e-09(-1.6842e-01) 2.1473e-04(1.3418e-03) 2.1303e-02(-2.6946e-05)
 1.7269e-09(-1.6579e-01) 2.1481e-04(1.3633e-03) 2.1306e-02(-2.7381e-05)
 1.6742e-09(-1.6324e-01) 2.1489e-04(1.3848e-03) 2.1309e-02(-2.7816e-05)
 1.6239e-09(-1.6076e-01) 2.1498e-04(1.4063e-03) 2.1311e-02(-2.8251e-05)
 1.5758e-09(-1.5836e-01) 2.1506e-04(1.4278e-03) 2.1314e-02(-2.8687e-05)
 1.5297e-09(-1.5603e-01) 2.1515e-04(1.4493e-03) 2.1317e-02(-2.9123e-05)
 1.4857e-09(-1.5377e-01) 2.1524e-04(1.4708e-03) 2.1320e-02(-2.9559e-05)
 1.4436e-09(-1.5158e-01) 2.1533e-04(1.4923e-03) 2.1323e-02(-2.9996e-05)
 1.4032e-09(-1.4944e-01) 2.1542e-04(1.5138e-03) 2.1326e-02(-3.0433e-05)
 1.3645e-09(-1.4737e-01) 2.1551e-04(1.5354e-03) 2.1329e-02(-3.0871e-05)
 1.3274e-09(-1.4535e-01) 2.1561e-04(1.5569e-03) 2.1332e-02(-3.1309e-05)
 1.2917e-09(-1.4338e-01) 2.1570e-04(1.5785e-03) 2.1335e-02(-3.1747e-05)
 1.2575e-09(-1.4147e-01) 2.1580e-04(1.6001e-03) 2.1339e-02(-3.2186e-05)
 1.2246e-09(-1.3961e-01) 2.1590e-04(1.6216e-03) 2.1342e-02(-3.2625e-05)
 1.1930e-09(-1.3780e-01) 2.1600e-04(1.6432e-03) 2.1345e-02(-3.3064e-05)
 1.1626e-09(-1.3603e-01) 2.1610e-04(1.6648e-03) 2.1348e-02(-3.3504e-05)
 1.1334e-09(-1.3431e-01) 2.1620e-04(1.6864e-03) 2.1352e-02(-3.3944e-05)
 1.1052e-09(-1.3263e-01) 2.1630e-04(1.7081e-03) 2.1355e-02(-3.4385e-05)
 1.0781e-09(-1.3099e-01) 2.1641e-04(1.7297e-03) 2.1359e-02(-3.4826e-05)
 1.0520e-09(-1.2939e-01) 2.1651e-04(1.7513e-03) 2.1362e-02(-3.5267e-05)
 1.0268e-09(-1.2784e-01) 2.1662e-04(1.7730e-03) 2.1366e-02(-3.5709e-05)
 1.0025e-09(-1.2631e-01) 2.1673e-04(1.7947e-03) 2.1369e-02(-3.6152e-05)
 9.7904e-10(-1.2483e-01) 2.1684e-04(1.8163e-03) 2.1373e-02(-3.6595e-05)
 9.5640e-10(-1.2338e-01) 2.1695e-04(1.8380e-03) 2.1377e-02(-3.7038e-05)
 9.3454e-10(-1.2196e-01) 2.1706e-04(1.8597e-03) 2.1380e-02(-3.7482e-05)
 9.1342e-10(-1.2057e-01) 2.1718e-04(1.8814e-03) 2.1384e-02(-3.7926e-05)
 8.9301e-10(-1.1922e-01) 2.1729e-04(1.9031e-03) 2.1388e-02(-3.8370e-05)
 8.7328e-10(-1.1789e-01) 2.1741e-04(1.9249e-03) 2.1392e-02(-3.8816e-05)
 8.5419e-10(-1.1660e-01) 2.1753e-04(1.9466e-03) 2.1396e-02(-3.9261e-05)
 8.3572e-10(-1.1533e-01) 2.1765e-04(1.9684e-03) 2.1400e-02(-3.9707e-05)
 8.1785e-10(-1.1409e-01) 2.1777e-04(1.9901e-03) 2.1404e-02(-4.0154e-05)
 8.0054e-10(-1.1288e-01) 2.1789e-04(2.0119e-03) 2.1408e-02(-4.0601e-05)
 7.8377e-10(-1.1169e-01) 2.1802e-04(2.0337e-03) 2.1412e-02(-4.1049e-05)
 7.6753e-10(-1.1052e-01) 2.1814e-04(2.0555e-03) 2.1416e-02(-4.1497e-05)
 7.5179e-10(-1.0938e-01) 2.1827e-04(2.0773e-03) 2.1420e-02(-4.1945e-05)
 7.3652e-10(-1.0827e-01) 2.1840e-04(2.0991e-03) 2.1424e-02(-4.2394e-05)
 7.2172e-10(-1.0718e-01) 2.1853e-04(2.1210e-03) 2.1428e-02(-4.2844e-05)
 7.0736e-10(-1.0610e-01) 2.1866e-04(2.1428e-03) 2.1433e-02(-4.3294e-05)
 6.9342e-10(-1.0505e-01) 2.1879e-04(2.1647e-03) 2.1437e-02(-4.3745e-05)
 6.7989e-10(-1.0402e-01) 2.1892e-04(2.1866e-03) 2.1442e-02(-4.4196e-05)
 6.6675e-10(-1.0301e-01) 2.1906e-04(2.2085e-03) 2.1446e-02(-4.4648e-05)
 6.5399e-10(-1.0202e-01) 2.1919e-04(2.2304e-03) 2.1450e-02(-4.5100e-05)
 6.4159e-10(-1.0105e-01) 2.1933e-04(2.2523e-03) 2.1455e-02(-4.5553e-05)
 6.2954e-10(-1.0010e-01) 2.1947e-04(2.2743e-03) 2.1460e-02(-4.6007e-05)
 6.1783e-10(-9.9162e-02) 2.1961e-04(2.2962e-03) 2.1464e-02(-4.6461e-05)
 6.0644e-10(-9.8244e-02) 2.1976e-04(2.3182e-03) 2.1469e-02(-4.6915e-05)
 5.9537e-10(-9.7342e-02) 2.1990e-04(2.3401e-03) 2.1474e-02(-4.7370e-05)
 5.8459e-10(-9.6458e-02) 2.2004e-04(2.3621e-03) 2.1478e-02(-4.7826e-05)
 5.7411e-10(-9.5589e-02) 2.2019e-04(2.3841e-03) 2.1483e-02(-4.8283e-05)
 5.6390e-10(-9.4735e-02) 2.2034e-04(2.4062e-03) 2.1488e-02(-4.8740e-05)
 5.5396e-10(-9.3897e-02) 2.2049e-04(2.4282e-03) 2.1493e-02(-4.9197e-05)
 5.4429e-10(-9.3073e-02) 2.2064e-04(2.4503e-03) 2.1498e-02(-4.9655e-05)
 5.3486e-10(-9.2264e-02) 2.2079e-04(2.4723e-03) 2.1503e-02(-5.0114e-05)
 5.2568e-10(-9.1468e-02) 2.2094e-04(2.4944e-03) 2.1508e-02(-5.0574e-05)
 5.1673e-10(-9.0687e-02) 2.2110e-04(2.5165e-03) 2.1513e-02(-5.1034e-05)
 5.0801e-10(-8.9918e-02) 2.2126e-04(2.5386e-03) 2.1518e-02(-5.1494e-05)
 4.9951e-10(-8.9162e-02) 2.2141e-04(2.5607e-03) 2.1523e-02(-5.1956e-05)
 4.9122e-10(-8.8419e-02) 2.2157e-04(2.5829e-03) 2.1528e-02(-5.2418e-05)
 4.8313e-10(-8.7689e-02) 2.2174e-04(2.6050e-03) 2.1534e-02(-5.2880e-05)
 4.7525e-10(-8.6970e-02) 2.2190e-04(2.6272e-03) 2.1539e-02(-5.3344e-05)
 4.6755e-10(-8.6263e-02) 2.2206e-04(2.6494e-03) 2.1544e-02(-5.3808e-05)
 4.6004e-10(-8.5567e-02) 2.2223e-04(2.6716e-03) 2.1550e-02(-5.4272e-05)
 4.5271e-10(-8.4883e-02) 2.2239e-04(2.6938e-03) 2.1555e-02(-5.4738e-05)
 4.4555e-10(-8.4209e-02) 2.2256e-04(2.7161e-03) 2.1561e-02(-5.5204e-05)
 4.3856e-10(-8.3546e-02) 2.2273e-04(2.7384e-03) 2.1566e-02(-5.5670e-05)
 4.3174e-10(-8.2893e-02) 2.2290e-04(2.7606e-03) 2.1572e-02(-5.6138e-05)
 4.2507e-10(-8.2251e-02) 2.2308e-04(2.7829e-03) 2.1577e-02(-5.6606e-05)
 4.1855e-10(-8.1618e-02) 2.2325e-04(2.8052e-03) 2.1583e-02(-5.7075e-05)
 4.1219e-10(-8.0995e-02) 2.2343e-04(2.8276e-03) 2.1589e-02(-5.7545e-05)
 4.0597e-10(-8.0381e-02) 2.2360e-04(2.8499e-03) 2.1595e-02(-5.8015e-05)
 3.9988e-10(-7.9777e-02) 2.2378e-04(2.8723e-03) 2.1600e-02(-5.8486e-05)
 3.9394e-10(-7.9182e-02) 2.2396e-04(2.8947e-03) 2.1606e-02(-5.8958e-05)
 3.8812e-10(-7.8595e-02) 2.2415e-04(2.9171e-03) 2.1612e-02(-5.9430e-05)
 3.8244e-10(-7.8017e-02) 2.2433e-04(2.9395e-03) 2.1618e-02(-5.9903e-05)
 3.7687e-10(-7.7448e-02) 2.2451e-04(2.9619e-03) 2.1624e-02(-6.0377e-05)
 3.7143e-10(-7.6886e-02) 2.2470e-04(2.9844e-03) 2.1630e-02(-6.0852e-05)
 3.6611e-10(-7.6333e-02) 2.2489e-04(3.0068e-03) 2.1636e-02(-6.1328e-05)
 3.6090e-10(-7.5788e-02) 2.2508e-04(3.0293e-03) 2.1643e-02(-6.1804e-05)
 3.5579e-10(-7.5251e-02) 2.2527e-04(3.0518e-03) 2.1649e-02(-6.2281e-05)
 3.5080e-10(-7.4721e-02) 2.2546e-04(3.0744e-03) 2.1655e-02(-6.2759e-05)
 3.4591e-10(-7.4198e-02) 2.2566e-04(3.0969e-03) 2.1661e-02(-6.3238e-05)
 3.4112e-10(-7.3683e-02) 2.2585e-04(3.1195e-03) 2.1668e-02(-6.3718e-05)
 3.3644e-10(-7.3175e-02) 2.2605e-04(3.1421e-03) 2.1674e-02(-6.4198e-05)
 3.3184e-10(-7.2673e-02) 2.2625e-04(3.1647e-03) 2.1680e-02(-6.4679e-05)
 3.2734e-10(-7.2179e-02) 2.2645e-04(3.1873e-03) 2.1687e-02(-6.5161e-05)
 3.2293e-10(-7.1691e-02) 2.2665e-04(3.2100e-03) 2.1693e-02(-6.5644e-05)
 3.1861e-10(-7.1210e-02) 2.2685e-04(3.2326e-03) 2.1700e-02(-6.6128e-05)
 3.1438e-10(-7.0736e-02) 2.2706e-04(3.2553e-03) 2.1707e-02(-6.6612e-05)
 3.1023e-10(-7.0267e-02) 2.2727e-04(3.2780e-03) 2.1713e-02(-6.7098e-05)
 3.0616e-10(-6.9805e-02) 2.2747e-04(3.3008e-03) 2.1720e-02(-6.7584e-05)
 3.0217e-10(-6.9349e-02) 2.2768e-04(3.3235e-03) 2.1727e-02(-6.8071e-05)
 2.9826e-10(-6.8898e-02) 2.2790e-04(3.3463e-03) 2.1734e-02(-6.8559e-05)
 2.9442e-10(-6.8454e-02) 2.2811e-04(3.3691e-03) 2.1741e-02(-6.9048e-05)
 2.9066e-10(-6.8015e-02) 2.2832e-04(3.3919e-03) 2.1748e-02(-6.9538e-05)
 2.8697e-10(-6.7582e-02) 2.2854e-04(3.4148e-03) 2.1754e-02(-7.0028e-05)
 2.8335e-10(-6.7154e-02) 2.2876e-04(3.4376e-03) 2.1762e-02(-7.0520e-05)
 2.7980e-10(-6.6732e-02) 2.2898e-04(3.4605e-03) 2.1769e-02(-7.1012e-05)
 2.7631e-10(-6.6315e-02) 2.2920e-04(3.4834e-03) 2.1776e-02(-7.1506e-05)
 2.7289e-10(-6.5903e-02) 2.2942e-04(3.5063e-03) 2.1783e-02(-7.2000e-05)
 2.6953e-10(-6.5496e-02) 2.2965e-04(3.5293e-03) 2.1790e-02(-7.2495e-05)
 2.6623e-10(-6.5094e-02) 2.2987e-04(3.5522e-03) 2.1797e-02(-7.2991e-05)
 2.6300e-10(-6.4697e-02) 2.3010e-04(3.5752e-03) 2.1805e-02(-7.3489e-05)
 2.5982e-10(-6.4305e-02) 2.3033e-04(3.5983e-03) 2.1812e-02(-7.3987e-05)
 2.5670e-10(-6.3918e-02) 2.3056e-04(3.6213e-03) 2.1819e-02(-7.4486e-05)
 2.5363e-10(-6.3535e-02) 2.3079e-04(3.6444e-03) 2.1827e-02(-7.4986e-05)
 2.5062e-10(-6.3157e-02) 2.3103e-04(3.6674e-03) 2.1834e-02(-7.5487e-05)
 2.4766e-10(-6.2783e-02) 2.3126e-04(3.6905e-03) 2.1842e-02(-7.5989e-05)
 2.4476e-10(-6.2414e-02) 2.3150e-04(3.7137e-03) 2.1850e-02(-7.6492e-05)
 2.4191e-10(-6.2049e-02) 2.3174e-04(3.7368e-03) 2.1857e-02(-7.6996e-05)
 2.3910e-10(-6.1688e-02) 2.3198e-04(3.7600e-03) 2.1865e-02(-7.7501e-05)
 2.3634e-10(-6.1331e-02) 2.3222e-04(3.7832e-03) 2.1873e-02(-7.8007e-05)
 2.3364e-10(-6.0979e-02) 2.3247e-04(3.8064e-03) 2.1881e-02(-7.8514e-05)
 2.3097e-10(-6.0630e-02) 2.3271e-04(3.8297e-03) 2.1889e-02(-7.9022e-05)
 2.2836e-10(-6.0286e-02) 2.3296e-04(3.8530e-03) 2.1896e-02(-7.9531e-05)
 2.2578e-10(-5.9945e-02) 2.3321e-04(3.8763e-03) 2.1904e-02(-8.0041e-05)
 2.2325e-10(-5.9609e-02) 2.3346e-04(3.8996e-03) 2.1912e-02(-8.0553e-05)
 2.2077e-10(-5.9276e-02) 2.3372e-04(3.9230e-03) 2.1921e-02(-8.1065e-05)
 2.1832e-10(-5.8946e-02) 2.3397e-04(3.9463e-03) 2.1929e-02(-8.1578e-05)
 2.1591e-10(-5.8621e-02) 2.3423e-04(3.9697e-03) 2.1937e-02(-8.2093e-05)
 2.1355e-10(-5.8299e-02) 2.3449e-04(3.9932e-03) 2.1945e-02(-8.2608e-05)
 2.1122e-10(-5.7980e-02) 2.3475e-04(4.0166e-03) 2.1953e-02(-8.3125e-05)
 2.0893e-10(-5.7665e-02) 2.3501e-04(4.0401e-03) 2.1962e-02(-8.3642e-05)
 2.0668e-10(-5.7353e-02) 2.3527e-04(4.0636e-03) 2.1970e-02(-8.4161e-05)
 2.0446e-10(-5.7045e-02) 2.3554e-04(4.0872e-03) 2.1979e-02(-8.4681e-05)
 2.0228e-10(-5.6740e-02) 2.3580e-04(4.1107e-03) 2.1987e-02(-8.5202e-05)
 2.0013e-10(-5.6438e-02) 2.3607e-04(4.1343e-03) 2.1996e-02(-8.5725e-05)
 1.9802e-10(-5.6139e-02) 2.3634e-04(4.1579e-03) 2.2004e-02(-8.6248e-05)
 1.9594e-10(-5.5844e-02) 2.3661e-04(4.1816e-03) 2.2013e-02(-8.6772e-05)
 1.9390e-10(-5.5551e-02) 2.3689e-04(4.2052e-03) 2.2021e-02(-8.7298e-05)
 1.9188e-10(-5.5262e-02) 2.3716e-04(4.2289e-03) 2.2030e-02(-8.7825e-05)
 1.8990e-10(-5.4976e-02) 2.3744e-04(4.2527e-03) 2.2039e-02(-8.8353e-05)
 1.8795e-10(-5.4692e-02) 2.3772e-04(4.2764e-03) 2.2048e-02(-8.8882e-05)
 1.8602e-10(-5.4412e-02) 2.3800e-04(4.3002e-03) 2.2057e-02(-8.9413e-05)
 1.8413e-10(-5.4134e-02) 2.3829e-04(4.3240e-03) 2.2066e-02(-8.9944e-05)
 1.8227e-10(-5.3860e-02) 2.3857e-04(4.3478e-03) 2.2075e-02(-9.0477e-05)
 1.8043e-10(-5.3588e-02) 2.3886e-04(4.3717e-03) 2.2084e-02(-9.1011e-05)
 1.7862e-10(-5.3318e-02) 2.3915e-04(4.3956e-03) 2.2093e-02(-9.1546e-05)
 1.7684e-10(-5.3052e-02) 2.3944e-04(4.4195e-03) 2.2102e-02(-9.2083e-05)
 1.7508e-10(-5.2788e-02) 2.3973e-04(4.4435e-03) 2.2111e-02(-9.2621e-05)
 1.7335e-10(-5.2526e-02) 2.4003e-04(4.4674e-03) 2.2121e-02(-9.3160e-05)
 1.7165e-10(-5.2268e-02) 2.4032e-04(4.4915e-03) 2.2130e-02(-9.3700e-05)
 1.6997e-10(-5.2011e-02) 2.4062e-04(4.5155e-03) 2.2139e-02(-9.4241e-05)
 1.6832e-10(-5.1758e-02) 2.4092e-04(4.5396e-03) 2.2149e-02(-9.4784e-05)
 1.6669e-10(-5.1506e-02) 2.4122e-04(4.5637e-03) 2.2158e-02(-9.5328e-05)
 1.6508e-10(-5.1258e-02) 2.4153e-04(4.5878e-03) 2.2168e-02(-9.5874e-05)
 1.6350e-10(-5.1011e-02) 2.4183e-04(4.6120e-03) 2.2178e-02(-9.6420e-05)
 1.6194e-10(-5.0767e-02) 2.4214e-04(4.6362e-03) 2.2187e-02(-9.6968e-05)
 1.6040e-10(-5.0525e-02) 2.4245e-04(4.6604e-03) 2.2197e-02(-9.7518e-05)
 1.5888e-10(-5.0286e-02) 2.4276e-04(4.6846e-03) 2.2207e-02(-9.8069e-05)
 1.5739e-10(-5.0049e-02) 2.4307e-04(4.7089e-03) 2.2217e-02(-9.8621e-05)
 1.5591e-10(-4.9814e-02) 2.4339e-04(4.7332e-03) 2.2226e-02(-9.9174e-05)
 1.5446e-10(-4.9581e-02) 2.4371e-04(4.7576e-03) 2.2236e-02(-9.9729e-05)
