%# f in GHz     S1(1)1(1)              S1(1)2(1)              S1(1)3(1)              S1(1)4(1)              S2(1)1(1)              S2(1)2(1)              S2(1)3(1)              S2(1)4(1)              S3(1)1(1)              S3(1)2(1)              S3(1)3(1)              S3(1)4(1)              S4(1)1(1)              S4(1)2(1)              S4(1)3(1)              S4(1)4(1)
%#              Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im
%# Reference impedance at port 1 (mode 1):  52.4062385559082, port 2 (mode 1):  64.4482116699219, port 3 (mode 1):  65.5613021850586, port 4 (mode 1):  54.8182716369629 
0.151000       0.043836  0.527486     0.588358  -0.051594     0.269442  -0.319297     0.190277  -0.409325     0.591016  -0.053555     -0.485512  0.199547     0.405005  -0.105456     0.396017  -0.208604     0.268136  -0.317747     0.405314  -0.105518     -0.435063  0.224844     0.641959  0.061501     0.189600  -0.408134     0.396841  -0.209054     0.640803  0.062365     -0.183814  0.391738
0.152000       0.048085  0.527751     0.589045  -0.052626     0.267290  -0.320006     0.187091  -0.409719     0.591653  -0.054655     -0.484817  0.200639     0.404595  -0.105879     0.395066  -0.209472     0.266022  -0.318422     0.404902  -0.105949     -0.433924  0.225635     0.643263  0.060808     0.186446  -0.408510     0.395881  -0.209943     0.642130  0.061703     -0.181258  0.392527
0.153000       0.052319  0.527979     0.589727  -0.053667     0.265141  -0.320697     0.183914  -0.410086     0.592284  -0.055762     -0.484120  0.201730     0.404185  -0.106299     0.394116  -0.210334     0.263913  -0.319080     0.404490  -0.106375     -0.432786  0.226417     0.644561  0.060103     0.183301  -0.408858     0.394920  -0.210824     0.643453  0.061028     -0.178708  0.393294
0.154000       0.056539  0.528172     0.590405  -0.054716     0.262996  -0.321370     0.180746  -0.410423     0.592909  -0.056877     -0.483420  0.202816     0.403776  -0.106715     0.393165  -0.211190     0.261807  -0.319721     0.404079  -0.106798     -0.431649  0.227189     0.645854  0.059386     0.180165  -0.409178     0.393958  -0.211698     0.644770  0.060339     -0.176166  0.394041
0.155000       0.060744  0.528328     0.591079  -0.055775     0.260853  -0.322026     0.177587  -0.410733     0.593528  -0.057999     -0.482719  0.203900     0.403368  -0.107127     0.392215  -0.212038     0.259706  -0.320345     0.403668  -0.107218     -0.430514  0.227953     0.647140  0.058655     0.177039  -0.409472     0.392996  -0.212565     0.646081  0.059637     -0.173629  0.394766
0.156000       0.064934  0.528450     0.591748  -0.056842     0.258715  -0.322663     0.174437  -0.411016     0.594140  -0.059129     -0.482015  0.204981     0.402961  -0.107536     0.391264  -0.212880     0.257609  -0.320952     0.403259  -0.107634     -0.429380  0.228708     0.648420  0.057913     0.173922  -0.409739     0.392033  -0.213426     0.647387  0.058922     -0.171100  0.395471
0.157000       0.069109  0.528536     0.592412  -0.057918     0.256580  -0.323283     0.171296  -0.411271     0.594747  -0.060266     -0.481309  0.206058     0.402555  -0.107941     0.390314  -0.213716     0.255517  -0.321542     0.402850  -0.108046     -0.428247  0.229456     0.649694  0.057158     0.170816  -0.409980     0.391071  -0.214279     0.648688  0.058195     -0.168578  0.396156
0.158000       0.073269  0.528588     0.593071  -0.059003     0.254450  -0.323884     0.168166  -0.411499     0.595347  -0.061410     -0.480602  0.207131     0.402150  -0.108343     0.389363  -0.214545     0.253430  -0.322116     0.402442  -0.108455     -0.427117  0.230194     0.650961  0.056391     0.167719  -0.410194     0.390108  -0.215126     0.649982  0.057454     -0.166063  0.396820
0.159000       0.077412  0.528606     0.593726  -0.060096     0.252323  -0.324469     0.165045  -0.411700     0.595941  -0.062562     -0.479892  0.208202     0.401745  -0.108742     0.388413  -0.215368     0.251348  -0.322674     0.402035  -0.108861     -0.425988  0.230924     0.652222  0.055613     0.164633  -0.410383     0.389144  -0.215967     0.651271  0.056701     -0.163557  0.397464
0.160000       0.081540  0.528590     0.594375  -0.061198     0.250201  -0.325036     0.161935  -0.411875     0.596528  -0.063721     -0.479179  0.209270     0.401342  -0.109137     0.387464  -0.216184     0.249270  -0.323215     0.401628  -0.109263     -0.424861  0.231645     0.653476  0.054822     0.161558  -0.410545     0.388181  -0.216800     0.652554  0.055936     -0.161058  0.398088
0.161000       0.085651  0.528540     0.595020  -0.062309     0.248083  -0.325586     0.158835  -0.412023     0.597109  -0.064886     -0.478465  0.210334     0.400940  -0.109528     0.386514  -0.216994     0.247198  -0.323741     0.401223  -0.109661     -0.423735  0.232359     0.654723  0.054020     0.158494  -0.410683     0.387217  -0.217627     0.653831  0.055158     -0.158566  0.398692
0.162000       0.089745  0.528458     0.595659  -0.063427     0.245971  -0.326119     0.155746  -0.412145     0.597683  -0.066058     -0.477749  0.211395     0.400539  -0.109917     0.385565  -0.217797     0.245131  -0.324250     0.400818  -0.110056     -0.422612  0.233064     0.655963  0.053207     0.155441  -0.410795     0.386254  -0.218447     0.655101  0.054367     -0.156084  0.399277
0.163000       0.093822  0.528344     0.596293  -0.064555     0.243863  -0.326635     0.152669  -0.412241     0.598251  -0.067237     -0.477031  0.212454     0.400139  -0.110302     0.384617  -0.218595     0.243070  -0.324744     0.400415  -0.110448     -0.421490  0.233762     0.657196  0.052382     0.152399  -0.410882     0.385291  -0.219261     0.656365  0.053565     -0.153609  0.399843
0.164000       0.097883  0.528197     0.596921  -0.065690     0.241759  -0.327135     0.149602  -0.412312     0.598812  -0.068423     -0.476311  0.213508     0.399741  -0.110684     0.383669  -0.219386     0.241015  -0.325222     0.400012  -0.110836     -0.420371  0.234450     0.658423  0.051545     0.149368  -0.410945     0.384328  -0.220068     0.657622  0.052751     -0.151142  0.400390
0.165000       0.101926  0.528019     0.597545  -0.066834     0.239662  -0.327617     0.146547  -0.412358     0.599366  -0.069615     -0.475589  0.214561     0.399343  -0.111062     0.382721  -0.220171     0.238965  -0.325685     0.399611  -0.111221     -0.419253  0.235132     0.659642  0.050698     0.146350  -0.410984     0.383365  -0.220868     0.658873  0.051925     -0.148685  0.400918
0.166000       0.105951  0.527810     0.598162  -0.067985     0.237569  -0.328084     0.143504  -0.412379     0.599913  -0.070813     -0.474865  0.215609     0.398947  -0.111437     0.381775  -0.220950     0.236921  -0.326132     0.399211  -0.111602     -0.418138  0.235805     0.660853  0.049840     0.143343  -0.410999     0.382402  -0.221662     0.660117  0.051087     -0.146236  0.401427
0.167000       0.109959  0.527570     0.598774  -0.069145     0.235482  -0.328534     0.140472  -0.412375     0.600454  -0.072018     -0.474139  0.216655     0.398552  -0.111809     0.380828  -0.221722     0.234883  -0.326565     0.398812  -0.111980     -0.417025  0.236470     0.662058  0.048971     0.140349  -0.410989     0.381439  -0.222450     0.661354  0.050238     -0.143796  0.401918
0.168000       0.113947  0.527299     0.599380  -0.070313     0.233401  -0.328967     0.137453  -0.412346     0.600988  -0.073229     -0.473411  0.217698     0.398159  -0.112178     0.379883  -0.222489     0.232851  -0.326983     0.398414  -0.112355     -0.415915  0.237129     0.663254  0.048091     0.137366  -0.410957     0.380477  -0.223231     0.662584  0.049377     -0.141365  0.402392
0.169000       0.117918  0.526999     0.599981  -0.071488     0.231325  -0.329385     0.134446  -0.412293     0.601515  -0.074446     -0.472682  0.218737     0.397766  -0.112544     0.378938  -0.223250     0.230825  -0.327386     0.398017  -0.112727     -0.414807  0.237778     0.664444  0.047201     0.134397  -0.410901     0.379516  -0.224006     0.663807  0.048504     -0.138943  0.402847
0.170000       0.121871  0.526669     0.600575  -0.072671     0.229255  -0.329787     0.131452  -0.412217     0.602035  -0.075668     -0.471950  0.219774     0.397375  -0.112906     0.377995  -0.224005     0.228805  -0.327774     0.397621  -0.113095     -0.413701  0.238421     0.665625  0.046301     0.131440  -0.410823     0.378554  -0.224775     0.665023  0.047621     -0.136532  0.403285
0.171000       0.125804  0.526310     0.601164  -0.073862     0.227191  -0.330174     0.128470  -0.412117     0.602549  -0.076897     -0.471217  0.220808     0.396986  -0.113266     0.377052  -0.224754     0.226792  -0.328148     0.397227  -0.113461     -0.412598  0.239056     0.666799  0.045390     0.128495  -0.410722     0.377594  -0.225537     0.666232  0.046726     -0.134129  0.403705
0.172000       0.129719  0.525922     0.601747  -0.075060     0.225134  -0.330544     0.125502  -0.411993     0.603055  -0.078131     -0.470482  0.221838     0.396598  -0.113622     0.376110  -0.225497     0.224786  -0.328508     0.396834  -0.113823     -0.411497  0.239685     0.667965  0.044470     0.125564  -0.410598     0.376634  -0.226293     0.667433  0.045821     -0.131736  0.404108
0.173000       0.133615  0.525506     0.602323  -0.076267     0.223082  -0.330900     0.122546  -0.411847     0.603554  -0.079371     -0.469745  0.222866     0.396212  -0.113975     0.375169  -0.226235     0.222786  -0.328853     0.396443  -0.114182     -0.410400  0.240305     0.669124  0.043539     0.122645  -0.410453     0.375674  -0.227043     0.668627  0.044905     -0.129352  0.404495
0.174000       0.137492  0.525062     0.602893  -0.077480     0.221037  -0.331240     0.119604  -0.411678     0.604047  -0.080617     -0.469006  0.223891     0.395827  -0.114326     0.374229  -0.226967     0.220793  -0.329185     0.396052  -0.114537     -0.409305  0.240918     0.670274  0.042599     0.119740  -0.410286     0.374716  -0.227787     0.669813  0.043978     -0.126978  0.404864
0.175000       0.141349  0.524591     0.603457  -0.078701     0.218999  -0.331565     0.116675  -0.411486     0.604532  -0.081868     -0.468265  0.224913     0.395443  -0.114673     0.373290  -0.227693     0.218806  -0.329503     0.395664  -0.114890     -0.408212  0.241525     0.671416  0.041649     0.116849  -0.410097     0.373758  -0.228525     0.670992  0.043040     -0.124615  0.405217
0.176000       0.145187  0.524092     0.604015  -0.079929     0.216967  -0.331875     0.113760  -0.411273     0.605010  -0.083124     -0.467523  0.225932     0.395061  -0.115018     0.372352  -0.228414     0.216827  -0.329808     0.395276  -0.115240     -0.407123  0.242123     0.672551  0.040690     0.113971  -0.409888     0.372801  -0.229257     0.672162  0.042093     -0.122262  0.405554
0.177000       0.149006  0.523567     0.604567  -0.081164     0.214942  -0.332171     0.110858  -0.411037     0.605481  -0.084385     -0.466780  0.226948     0.394681  -0.115359     0.371415  -0.229129     0.214854  -0.330099     0.394890  -0.115587     -0.406036  0.242716     0.673677  0.039721     0.111107  -0.409657     0.371844  -0.229983     0.673325  0.041135     -0.119918  0.405875
0.178000       0.152805  0.523015     0.605111  -0.082406     0.212924  -0.332452     0.107970  -0.410780     0.605945  -0.085652     -0.466034  0.227961     0.394302  -0.115698     0.370480  -0.229839     0.212889  -0.330377     0.394506  -0.115930     -0.404953  0.243301     0.674795  0.038743     0.108256  -0.409406     0.370889  -0.230702     0.674481  0.040167     -0.117585  0.406181
0.179000       0.156583  0.522438     0.605650  -0.083656     0.210914  -0.332719     0.105097  -0.410501     0.606402  -0.086923     -0.465287  0.228971     0.393925  -0.116034     0.369545  -0.230543     0.210930  -0.330642     0.394123  -0.116271     -0.403872  0.243879     0.675904  0.037757     0.105419  -0.409135     0.369935  -0.231416     0.675628  0.039189     -0.115262  0.406470
0.180000       0.160341  0.521836     0.606181  -0.084912     0.208910  -0.332971     0.102237  -0.410202     0.606851  -0.088199     -0.464538  0.229978     0.393550  -0.116367     0.368612  -0.231242     0.208979  -0.330894     0.393742  -0.116609     -0.402794  0.244451     0.677006  0.036761     0.102597  -0.408843     0.368981  -0.232125     0.676767  0.038201     -0.112950  0.406745
0.181000       0.164080  0.521208     0.606706  -0.086175     0.206913  -0.333209     0.099392  -0.409882     0.607294  -0.089480     -0.463787  0.230983     0.393176  -0.116698     0.367680  -0.231935     0.207035  -0.331133     0.393362  -0.116944     -0.401720  0.245016     0.678099  0.035757     0.099788  -0.408532     0.368029  -0.232827     0.677898  0.037203     -0.110648  0.407004
0.182000       0.167799  0.520556     0.607225  -0.087445     0.204924  -0.333434     0.096562  -0.409541     0.607729  -0.090766     -0.463035  0.231985     0.392804  -0.117025     0.366750  -0.232624     0.205099  -0.331360     0.392984  -0.117276     -0.400648  0.245575     0.679184  0.034744     0.096994  -0.408202     0.367078  -0.233524     0.679021  0.036196     -0.108357  0.407249
0.183000       0.171497  0.519879     0.607736  -0.088721     0.202942  -0.333644     0.093746  -0.409180     0.608157  -0.092057     -0.462281  0.232984     0.392434  -0.117350     0.365821  -0.233307     0.203170  -0.331574     0.392607  -0.117605     -0.399580  0.246128     0.680260  0.033722     0.094214  -0.407852     0.366128  -0.234215     0.680135  0.035180     -0.106077  0.407479
0.184000       0.175174  0.519179     0.608241  -0.090004     0.200968  -0.333841     0.090945  -0.408800     0.608578  -0.093351     -0.461526  0.233979     0.392065  -0.117673     0.364893  -0.233985     0.201248  -0.331776     0.392233  -0.117932     -0.398515  0.246674     0.681328  0.032693     0.091448  -0.407484     0.365179  -0.234900     0.681241  0.034154     -0.103807  0.407695
0.185000       0.178831  0.518456     0.608739  -0.091294     0.199002  -0.334025     0.088158  -0.408399     0.608992  -0.094651     -0.460768  0.234973     0.391698  -0.117993     0.363967  -0.234658     0.199334  -0.331966     0.391859  -0.118256     -0.397453  0.247213     0.682387  0.031655     0.088697  -0.407096     0.364232  -0.235580     0.682339  0.033120     -0.101549  0.407896
0.186000       0.182469  0.517709     0.609229  -0.092590     0.197043  -0.334195     0.085387  -0.407980     0.609399  -0.095954     -0.460010  0.235964     0.391333  -0.118310     0.363042  -0.235326     0.197427  -0.332144     0.391488  -0.118577     -0.396394  0.247747     0.683438  0.030610     0.085961  -0.406691     0.363285  -0.236254     0.683428  0.032076     -0.099301  0.408084
0.187000       0.186084  0.516940     0.609713  -0.093892     0.195092  -0.334353     0.082631  -0.407542     0.609798  -0.097262     -0.459250  0.236951     0.390970  -0.118624     0.362119  -0.235989     0.195529  -0.332311     0.391118  -0.118895     -0.395339  0.248274     0.684480  0.029556     0.083240  -0.406267     0.362340  -0.236923     0.684509  0.031024     -0.097064  0.408258
0.188000       0.189680  0.516149     0.610190  -0.095200     0.193149  -0.334497     0.079890  -0.407084     0.610190  -0.098574     -0.458488  0.237937     0.390609  -0.118937     0.361197  -0.236647     0.193637  -0.332466     0.390750  -0.119211     -0.394287  0.248795     0.685514  0.028495     0.080533  -0.405826     0.361397  -0.237586     0.685581  0.029962     -0.094838  0.408419
0.189000       0.193254  0.515335     0.610659  -0.096515     0.191214  -0.334629     0.077164  -0.406609     0.610575  -0.099889     -0.457724  0.238919     0.390250  -0.119246     0.360276  -0.237300     0.191754  -0.332610     0.390384  -0.119524     -0.393239  0.249310     0.686539  0.027426     0.077841  -0.405368     0.360454  -0.238244     0.686645  0.028893     -0.092624  0.408566
0.190000       0.196808  0.514501     0.611122  -0.097835     0.189287  -0.334748     0.074453  -0.406115     0.610952  -0.101209     -0.456960  0.239899     0.389892  -0.119554     0.359358  -0.237948     0.189879  -0.332742     0.390020  -0.119834     -0.392193  0.249820     0.687555  0.026350     0.075164  -0.404892     0.359514  -0.238897     0.687700  0.027815     -0.090420  0.408701
0.191000       0.200341  0.513645     0.611577  -0.099161     0.187368  -0.334855     0.071758  -0.405604     0.611323  -0.102532     -0.456193  0.240876     0.389536  -0.119858     0.358441  -0.238592     0.188011  -0.332863     0.389657  -0.120142     -0.391151  0.250324     0.688562  0.025267     0.072501  -0.404399     0.358575  -0.239544     0.688746  0.026729     -0.088228  0.408822
0.192000       0.203853  0.512769     0.612024  -0.100493     0.185458  -0.334949     0.069079  -0.405074     0.611686  -0.103859     -0.455425  0.241850     0.389183  -0.120161     0.357525  -0.239231     0.186151  -0.332974     0.389297  -0.120447     -0.390113  0.250822     0.689561  0.024177     0.069855  -0.403889     0.357637  -0.240187     0.689783  0.025634     -0.086046  0.408931
0.193000       0.207345  0.511872     0.612465  -0.101831     0.183556  -0.335032     0.066415  -0.404528     0.612042  -0.105190     -0.454656  0.242823     0.388831  -0.120461     0.356611  -0.239865     0.184299  -0.333073     0.388938  -0.120750     -0.389079  0.251314     0.690551  0.023080     0.067223  -0.403364     0.356701  -0.240824     0.690812  0.024532     -0.083877  0.409029
0.194000       0.210816  0.510955     0.612898  -0.103174     0.181662  -0.335103     0.063766  -0.403965     0.612391  -0.106524     -0.453885  0.243791     0.388481  -0.120759     0.355699  -0.240495     0.182455  -0.333163     0.388581  -0.121051     -0.388047  0.251802     0.691533  0.021975     0.064606  -0.402822     0.355766  -0.241456     0.691831  0.023422     -0.081718  0.409114
0.195000       0.214265  0.510020     0.613324  -0.104523     0.179776  -0.335161     0.061134  -0.403385     0.612733  -0.107862     -0.453113  0.244758     0.388133  -0.121055     0.354788  -0.241120     0.180619  -0.333241     0.388226  -0.121349     -0.387019  0.252283     0.692505  0.020865     0.062004  -0.402264     0.354833  -0.242083     0.692842  0.022304     -0.079570  0.409187
0.196000       0.217694  0.509064     0.613742  -0.105878     0.177899  -0.335209     0.058517  -0.402788     0.613067  -0.109203     -0.452339  0.245723     0.387788  -0.121348     0.353880  -0.241741     0.178791  -0.333310     0.387873  -0.121644     -0.385995  0.252760     0.693469  0.019747     0.059418  -0.401691     0.353902  -0.242705     0.693844  0.021179     -0.077435  0.409248
0.197000       0.221102  0.508090     0.614153  -0.107238     0.176031  -0.335245     0.055916  -0.402176     0.613394  -0.110547     -0.451563  0.246684     0.387444  -0.121639     0.352973  -0.242357     0.176971  -0.333368     0.387522  -0.121938     -0.384975  0.253230     0.694424  0.018624     0.056846  -0.401102     0.352972  -0.243322     0.694837  0.020047     -0.075310  0.409298
0.198000       0.224489  0.507097     0.614556  -0.108603     0.174171  -0.335270     0.053331  -0.401547     0.613715  -0.111894     -0.450787  0.247643     0.387102  -0.121928     0.352067  -0.242969     0.175160  -0.333416     0.387173  -0.122229     -0.383958  0.253696     0.695370  0.017494     0.054290  -0.400498     0.352045  -0.243934     0.695821  0.018907     -0.073196  0.409337
0.199000       0.227854  0.506087     0.614951  -0.109973     0.172320  -0.335284     0.050762  -0.400903     0.614028  -0.113245     -0.450008  0.248599     0.386762  -0.122215     0.351164  -0.243577     0.173356  -0.333455     0.386826  -0.122517     -0.382945  0.254157     0.696308  0.016358     0.051750  -0.399880     0.351119  -0.244541     0.696795  0.017760     -0.071095  0.409365
0.200000       0.231200  0.505058     0.615339  -0.111348     0.170478  -0.335287     0.048209  -0.400244     0.614334  -0.114598     -0.449229  0.249554     0.386425  -0.122500     0.350262  -0.244180     0.171560  -0.333484     0.386481  -0.122804     -0.381935  0.254613     0.697236  0.015216     0.049225  -0.399247     0.350194  -0.245143     0.697761  0.016607     -0.069005  0.409383
0.201000       0.234524  0.504013     0.615719  -0.112728     0.168645  -0.335279     0.045672  -0.399570     0.614632  -0.115955     -0.448447  0.250506     0.386089  -0.122783     0.349362  -0.244780     0.169773  -0.333504     0.386138  -0.123088     -0.380929  0.255064     0.698156  0.014068     0.046715  -0.398600     0.349272  -0.245741     0.698718  0.015446     -0.066926  0.409389
0.202000       0.237828  0.502950     0.616092  -0.114113     0.166820  -0.335261     0.043151  -0.398881     0.614924  -0.117314     -0.447665  0.251454     0.385756  -0.123064     0.348464  -0.245375     0.167994  -0.333514     0.385797  -0.123370     -0.379927  0.255510     0.699067  0.012914     0.044220  -0.397939     0.348351  -0.246334     0.699665  0.014279     -0.064858  0.409386
0.203000       0.241111  0.501870     0.616457  -0.115502     0.165004  -0.335232     0.040646  -0.398177     0.615209  -0.118676     -0.446881  0.252401     0.385424  -0.123343     0.347568  -0.245966     0.166222  -0.333515     0.385458  -0.123650     -0.378928  0.255952     0.699969  0.011755     0.041740  -0.397264     0.347433  -0.246923     0.700604  0.013105     -0.062802  0.409372
0.204000       0.244373  0.500774     0.616814  -0.116896     0.163197  -0.335194     0.038157  -0.397460     0.615486  -0.120040     -0.446096  0.253346     0.385095  -0.123620     0.346674  -0.246553     0.164459  -0.333507     0.385121  -0.123928     -0.377933  0.256389     0.700863  0.010590     0.039277  -0.396575     0.346516  -0.247507     0.701533  0.011925     -0.060757  0.409349
0.205000       0.247614  0.499662     0.617163  -0.118295     0.161399  -0.335145     0.035685  -0.396728     0.615757  -0.121407     -0.445309  0.254287     0.384768  -0.123895     0.345781  -0.247136     0.162704  -0.333491     0.384787  -0.124204     -0.376942  0.256821     0.701747  0.009421     0.036828  -0.395874     0.345601  -0.248086     0.702453  0.010739     -0.058724  0.409315
0.206000       0.250834  0.498535     0.617505  -0.119699     0.159610  -0.335086     0.033228  -0.395983     0.616021  -0.122777     -0.444521  0.255227     0.384443  -0.124168     0.344891  -0.247716     0.160958  -0.333465     0.384454  -0.124478     -0.375954  0.257249     0.702623  0.008246     0.034395  -0.395159     0.344688  -0.248662     0.703364  0.009547     -0.056702  0.409273
0.207000       0.254034  0.497392     0.617839  -0.121106     0.157830  -0.335018     0.030788  -0.395224     0.616277  -0.124149     -0.443731  0.256164     0.384120  -0.124440     0.344002  -0.248291     0.159219  -0.333431     0.384124  -0.124750     -0.374971  0.257672     0.703490  0.007065     0.031977  -0.394432     0.343777  -0.249232     0.704266  0.008348     -0.054692  0.409221
0.208000       0.257213  0.496234     0.618165  -0.122518     0.156059  -0.334941     0.028364  -0.394452     0.616527  -0.125524     -0.442940  0.257098     0.383799  -0.124710     0.343115  -0.248863     0.157489  -0.333389     0.383795  -0.125019     -0.373990  0.258091     0.704348  0.005880     0.029575  -0.393692     0.342868  -0.249799     0.705158  0.007144     -0.052693  0.409160
0.209000       0.260373  0.495061     0.618483  -0.123935     0.154297  -0.334853     0.025956  -0.393667     0.616769  -0.126900     -0.442148  0.258031     0.383480  -0.124978     0.342230  -0.249431     0.155767  -0.333338     0.383469  -0.125287     -0.373014  0.258506     0.705198  0.004691     0.027188  -0.392939     0.341961  -0.250361     0.706042  0.005934     -0.050705  0.409090
0.210000       0.263511  0.493874     0.618793  -0.125355     0.152544  -0.334757     0.023564  -0.392870     0.617005  -0.128279     -0.441354  0.258962     0.383164  -0.125244     0.341347  -0.249995     0.154053  -0.333279     0.383145  -0.125553     -0.372041  0.258916     0.706039  0.003496     0.024816  -0.392175     0.341056  -0.250919     0.706916  0.004719     -0.048728  0.409012
0.211000       0.266629  0.492672     0.619095  -0.126779     0.150801  -0.334652     0.021189  -0.392060     0.617234  -0.129660     -0.440559  0.259889     0.382850  -0.125509     0.340466  -0.250555     0.152347  -0.333212     0.382823  -0.125818     -0.371072  0.259323     0.706871  0.002297     0.022459  -0.391399     0.340154  -0.251472     0.707781  0.003498     -0.046763  0.408925
0.212000       0.269727  0.491457     0.619389  -0.128207     0.149066  -0.334538     0.018830  -0.391239     0.617456  -0.131043     -0.439762  0.260815     0.382538  -0.125772     0.339587  -0.251112     0.150649  -0.333137     0.382504  -0.126080     -0.370107  0.259726     0.707695  0.001094     0.020118  -0.390612     0.339253  -0.252022     0.708636  0.002272     -0.044809  0.408829
0.213000       0.272804  0.490229     0.619675  -0.129639     0.147341  -0.334415     0.016487  -0.390405     0.617671  -0.132428     -0.438965  0.261738     0.382228  -0.126033     0.338709  -0.251666     0.148960  -0.333055     0.382186  -0.126341     -0.369145  0.260125     0.708509  -0.000114     0.017792  -0.389813     0.338354  -0.252568     0.709483  0.001041     -0.042867  0.408726
0.214000       0.275862  0.488987     0.619954  -0.131074     0.145624  -0.334284     0.014160  -0.389560     0.617880  -0.133815     -0.438165  0.262659     0.381920  -0.126293     0.337834  -0.252216     0.147278  -0.332965     0.381871  -0.126600     -0.368188  0.260519     0.709316  -0.001326     0.015481  -0.389003     0.337458  -0.253110     0.710320  -0.000195     -0.040936  0.408615
0.215000       0.278899  0.487732     0.620224  -0.132514     0.143917  -0.334144     0.011849  -0.388703     0.618081  -0.135204     -0.437365  0.263578     0.381614  -0.126551     0.336961  -0.252762     0.145605  -0.332868     0.381558  -0.126857     -0.367234  0.260910     0.710113  -0.002542     0.013185  -0.388182     0.336564  -0.253647     0.711148  -0.001436     -0.039015  0.408496
0.216000       0.281917  0.486465     0.620486  -0.133956     0.142220  -0.333997     0.009554  -0.387836     0.618276  -0.136595     -0.436562  0.264495     0.381311  -0.126808     0.336089  -0.253306     0.143940  -0.332763     0.381247  -0.127113     -0.366284  0.261297     0.710902  -0.003762     0.010905  -0.387350     0.335671  -0.254181     0.711967  -0.002682     -0.037106  0.408370
0.217000       0.284915  0.485185     0.620741  -0.135402     0.140531  -0.333841     0.007276  -0.386957     0.618464  -0.137987     -0.435759  0.265409     0.381010  -0.127063     0.335220  -0.253846     0.142283  -0.332651     0.380939  -0.127366     -0.365337  0.261682     0.711683  -0.004986     0.008640  -0.386508     0.334781  -0.254711     0.712777  -0.003933     -0.035208  0.408236
0.218000       0.287892  0.483893     0.620987  -0.136851     0.138851  -0.333677     0.005013  -0.386068     0.618646  -0.139381     -0.434954  0.266321     0.380711  -0.127317     0.334353  -0.254382     0.140634  -0.332532     0.380632  -0.127619     -0.364394  0.262062     0.712455  -0.006214     0.006390  -0.385656     0.333893  -0.255238     0.713578  -0.005188     -0.033321  0.408095
0.219000       0.290850  0.482589     0.621226  -0.138304     0.137181  -0.333505     0.002767  -0.385168     0.618821  -0.140776     -0.434148  0.267232     0.380415  -0.127570     0.333487  -0.254916     0.138993  -0.332406     0.380328  -0.127870     -0.363455  0.262438     0.713218  -0.007445     0.004155  -0.384793     0.333008  -0.255760     0.714369  -0.006447     -0.031446  0.407947
0.220000       0.293789  0.481273     0.621456  -0.139760     0.135520  -0.333326     0.000536  -0.384259     0.618989  -0.142174     -0.433341  0.268139     0.380120  -0.127821     0.332624  -0.255446     0.137360  -0.332273     0.380027  -0.128119     -0.362519  0.262812     0.713974  -0.008679     0.001934  -0.383921     0.332124  -0.256279     0.715151  -0.007710     -0.029581  0.407792
0.221000       0.296708  0.479947     0.621678  -0.141219     0.133868  -0.333140     -0.001679  -0.383339     0.619151  -0.143572     -0.432532  0.269045     0.379828  -0.128071     0.331762  -0.255973     0.135735  -0.332134     0.379727  -0.128367     -0.361587  0.263182     0.714720  -0.009917     -0.000271  -0.383040     0.331243  -0.256795     0.715924  -0.008978     -0.027726  0.407631
0.222000       0.299608  0.478609     0.621892  -0.142680     0.132225  -0.332946     -0.003877  -0.382410     0.619306  -0.144973     -0.431721  0.269950     0.379538  -0.128320     0.330902  -0.256497     0.134118  -0.331988     0.379430  -0.128613     -0.360659  0.263549     0.715459  -0.011159     -0.002462  -0.382148     0.330364  -0.257306     0.716688  -0.010249     -0.025883  0.407463
0.223000       0.302488  0.477261     0.622098  -0.144144     0.130591  -0.332745     -0.006060  -0.381471     0.619454  -0.146374     -0.430910  0.270850     0.379250  -0.128567     0.330045  -0.257018     0.132509  -0.331836     0.379135  -0.128858     -0.359734  0.263913     0.716189  -0.012403     -0.004637  -0.381248     0.329487  -0.257815     0.717443  -0.011525     -0.024051  0.407289
0.224000       0.305350  0.475902     0.622297  -0.145612     0.128967  -0.332538     -0.008227  -0.380523     0.619596  -0.147777     -0.430097  0.271750     0.378964  -0.128814     0.329189  -0.257536     0.130908  -0.331677     0.378842  -0.129102     -0.358813  0.264274     0.716910  -0.013651     -0.006798  -0.380339     0.328613  -0.258320     0.718189  -0.012804     -0.022229  0.407109
0.225000       0.308192  0.474533     0.622487  -0.147082     0.127351  -0.332323     -0.010378  -0.379566     0.619732  -0.149181     -0.429282  0.272648     0.378681  -0.129059     0.328335  -0.258051     0.129314  -0.331513     0.378552  -0.129344     -0.357896  0.264631     0.717624  -0.014901     -0.008944  -0.379421     0.327741  -0.258821     0.718926  -0.014086     -0.020417  0.406923
0.226000       0.311015  0.473153     0.622669  -0.148554     0.125745  -0.332102     -0.012514  -0.378601     0.619862  -0.150586     -0.428466  0.273544     0.378400  -0.129303     0.327483  -0.258564     0.127729  -0.331342     0.378264  -0.129585     -0.356982  0.264986     0.718329  -0.016155     -0.011075  -0.378494     0.326870  -0.259320     0.719654  -0.015373     -0.018617  0.406731
