%# f in GHz     S1(1)1(1)              S1(1)2(1)              S2(1)1(1)              S2(1)2(1)
%#              Re         Im          Re         Im          Re         Im          Re         Im
%# Reference impedance at port 1 (mode 1):  47.7088394165039, port 2 (mode 1):  47.7088394165039 
4.065000       0.986544  -0.069635     -0.008156  -0.117101     -0.008156  -0.117101     0.986544  -0.069636
4.080000       0.985354  -0.083319     -0.010078  -0.119154     -0.010078  -0.119154     0.985354  -0.083319
4.095000       0.983945  -0.097012     -0.012045  -0.121159     -0.012045  -0.121159     0.983945  -0.097012
4.110000       0.982313  -0.110705     -0.014051  -0.123119     -0.014051  -0.123120     0.982313  -0.110707
4.125000       0.980454  -0.124389     -0.016094  -0.125038     -0.016093  -0.125038     0.980454  -0.124390
4.140000       0.978367  -0.138056     -0.018168  -0.126919     -0.018168  -0.126919     0.978367  -0.138056
4.155000       0.976050  -0.151692     -0.020274  -0.128767     -0.020274  -0.128767     0.976051  -0.151692
4.170000       0.973506  -0.165291     -0.022409  -0.130587     -0.022409  -0.130588     0.973506  -0.165291
4.185000       0.970735  -0.178839     -0.024576  -0.132385     -0.024575  -0.132385     0.970736  -0.178839
4.200000       0.967744  -0.192330     -0.026774  -0.134165     -0.026774  -0.134165     0.967744  -0.192331
4.215000       0.964537  -0.205756     -0.029008  -0.135930     -0.029008  -0.135931     0.964537  -0.205756
4.230000       0.961121  -0.219106     -0.031281  -0.137686     -0.031281  -0.137686     0.961121  -0.219106
4.245000       0.957503  -0.232377     -0.033599  -0.139433     -0.033599  -0.139434     0.957503  -0.232377
4.260000       0.953690  -0.245565     -0.035966  -0.141174     -0.035966  -0.141175     0.953690  -0.245565
4.275000       0.949692  -0.258667     -0.038389  -0.142909     -0.038389  -0.142909     0.949692  -0.258667
4.290000       0.945516  -0.271680     -0.040874  -0.144636     -0.040873  -0.144636     0.945517  -0.271680
4.305000       0.941171  -0.284604     -0.043426  -0.146353     -0.043426  -0.146353     0.941171  -0.284605
4.320000       0.936662  -0.297445     -0.046052  -0.148056     -0.046052  -0.148056     0.936663  -0.297445
4.335000       0.931997  -0.310202     -0.048756  -0.149740     -0.048756  -0.149741     0.931997  -0.310202
4.350000       0.927179  -0.322880     -0.051542  -0.151400     -0.051542  -0.151400     0.927179  -0.322880
4.365000       0.922212  -0.335485     -0.054414  -0.153027     -0.054414  -0.153028     0.922213  -0.335485
4.380000       0.917098  -0.348021     -0.057373  -0.154616     -0.057374  -0.154616     0.917098  -0.348021
4.395000       0.911837  -0.360493     -0.060421  -0.156157     -0.060421  -0.156158     0.911837  -0.360494
4.410000       0.906428  -0.372907     -0.063554  -0.157644     -0.063555  -0.157644     0.906428  -0.372907
4.425000       0.900868  -0.385266     -0.066773  -0.159067     -0.066773  -0.159067     0.900868  -0.385268
4.440000       0.895151  -0.397576     -0.070072  -0.160420     -0.070072  -0.160420     0.895151  -0.397578
4.455000       0.889274  -0.409838     -0.073447  -0.161696     -0.073448  -0.161697     0.889274  -0.409839
4.470000       0.883229  -0.422053     -0.076892  -0.162890     -0.076893  -0.162890     0.883230  -0.422053
4.485000       0.877011  -0.434219     -0.080400  -0.163997     -0.080401  -0.163997     0.877011  -0.434221
4.500000       0.870610  -0.446338     -0.083965  -0.165014     -0.083965  -0.165014     0.870610  -0.446340
4.515000       0.864020  -0.458404     -0.087577  -0.165939     -0.087577  -0.165939     0.864020  -0.458404
4.530000       0.857234  -0.470410     -0.091230  -0.166771     -0.091230  -0.166772     0.857235  -0.470410
4.545000       0.850247  -0.482350     -0.094916  -0.167513     -0.094916  -0.167513     0.850247  -0.482350
4.560000       0.843052  -0.494216     -0.098628  -0.168166     -0.098628  -0.168166     0.843053  -0.494217
4.575000       0.835647  -0.505998     -0.102360  -0.168734     -0.102360  -0.168734     0.835648  -0.505998
4.590000       0.828029  -0.517685     -0.106107  -0.169222     -0.106107  -0.169222     0.828029  -0.517687
4.605000       0.820197  -0.529268     -0.109866  -0.169635     -0.109866  -0.169635     0.820196  -0.529270
4.620000       0.812153  -0.540734     -0.113633  -0.169979     -0.113633  -0.169979     0.812152  -0.540735
4.635000       0.803900  -0.552071     -0.117409  -0.170260     -0.117409  -0.170260     0.803899  -0.552073
4.650000       0.795442  -0.563271     -0.121194  -0.170484     -0.121194  -0.170484     0.795441  -0.563272
4.665000       0.786786  -0.574321     -0.124989  -0.170657     -0.124989  -0.170657     0.786785  -0.574323
4.680000       0.777940  -0.585215     -0.128799  -0.170784     -0.128798  -0.170784     0.777939  -0.585217
4.695000       0.768913  -0.595944     -0.132627  -0.170868     -0.132626  -0.170869     0.768912  -0.595946
4.710000       0.759714  -0.606504     -0.136479  -0.170914     -0.136479  -0.170914     0.759714  -0.606504
4.725000       0.750354  -0.616890     -0.140361  -0.170921     -0.140361  -0.170921     0.750354  -0.616890
4.740000       0.740844  -0.627100     -0.144281  -0.170889     -0.144281  -0.170890     0.740844  -0.627100
4.755000       0.731194  -0.637134     -0.148244  -0.170818     -0.148244  -0.170819     0.731194  -0.637134
4.770000       0.721414  -0.646993     -0.152257  -0.170704     -0.152257  -0.170704     0.721414  -0.646993
4.785000       0.711513  -0.656680     -0.156326  -0.170541     -0.156326  -0.170542     0.711513  -0.656680
4.800000       0.701497  -0.666201     -0.160456  -0.170325     -0.160456  -0.170325     0.701497  -0.666201
4.815000       0.691373  -0.675560     -0.164650  -0.170047     -0.164650  -0.170048     0.691373  -0.675560
4.830000       0.681146  -0.684764     -0.168912  -0.169700     -0.168912  -0.169700     0.681144  -0.684766
4.845000       0.670816  -0.693821     -0.173241  -0.169274     -0.173241  -0.169274     0.670816  -0.693821
4.860000       0.660388  -0.702735     -0.177638  -0.168761     -0.177638  -0.168761     0.660388  -0.702735
4.875000       0.649858  -0.711513     -0.182100  -0.168151     -0.182100  -0.168151     0.649857  -0.711514
4.890000       0.639223  -0.720162     -0.186623  -0.167435     -0.186623  -0.167435     0.639222  -0.720163
4.905000       0.628479  -0.728686     -0.191201  -0.166605     -0.191201  -0.166605     0.628479  -0.728686
4.920000       0.617621  -0.737087     -0.195828  -0.165655     -0.195828  -0.165655     0.617621  -0.737087
4.935000       0.606644  -0.745366     -0.200495  -0.164578     -0.200495  -0.164578     0.606642  -0.745367
4.950000       0.595537  -0.753524     -0.205194  -0.163369     -0.205194  -0.163369     0.595536  -0.753525
4.965000       0.584295  -0.761559     -0.209914  -0.162027     -0.209914  -0.162027     0.584295  -0.761559
4.980000       0.572910  -0.769464     -0.214645  -0.160550     -0.214645  -0.160550     0.572910  -0.769464
4.995000       0.561378  -0.777235     -0.219378  -0.158939     -0.219378  -0.158939     0.561377  -0.777236
5.010000       0.549690  -0.784864     -0.224104  -0.157195     -0.224104  -0.157195     0.549690  -0.784864
5.025000       0.537843  -0.792340     -0.228813  -0.155323     -0.228813  -0.155324     0.537843  -0.792340
5.040000       0.525836  -0.799653     -0.233499  -0.153329     -0.233499  -0.153329     0.525834  -0.799654
5.055000       0.513665  -0.806793     -0.238155  -0.151219     -0.238155  -0.151220     0.513663  -0.806793
5.070000       0.501332  -0.813745     -0.242776  -0.149000     -0.242776  -0.149000     0.501332  -0.813745
5.085000       0.488844  -0.820499     -0.247360  -0.146680     -0.247360  -0.146681     0.488844  -0.820498
5.100000       0.476204  -0.827041     -0.251906  -0.144267     -0.251906  -0.144268     0.476202  -0.827041
5.115000       0.463417  -0.833362     -0.256414  -0.141769     -0.256414  -0.141769     0.463416  -0.833361
5.130000       0.450494  -0.839450     -0.260887  -0.139192     -0.260887  -0.139192     0.450494  -0.839450
5.145000       0.437448  -0.845298     -0.265328  -0.136543     -0.265328  -0.136544     0.437448  -0.845298
5.160000       0.424289  -0.850898     -0.269744  -0.133827     -0.269744  -0.133828     0.424288  -0.850898
5.175000       0.411029  -0.856246     -0.274139  -0.131047     -0.274140  -0.131048     0.411029  -0.856246
5.190000       0.397684  -0.861339     -0.278523  -0.128205     -0.278523  -0.128205     0.397684  -0.861339
5.205000       0.384265  -0.866177     -0.282901  -0.125300     -0.282901  -0.125301     0.384265  -0.866176
5.220000       0.370787  -0.870760     -0.287281  -0.122330     -0.287281  -0.122331     0.370787  -0.870759
5.235000       0.357261  -0.875093     -0.291670  -0.119292     -0.291670  -0.119292     0.357261  -0.875092
5.250000       0.343699  -0.879180     -0.296074  -0.116179     -0.296074  -0.116179     0.343699  -0.879180
5.265000       0.330109  -0.883030     -0.300498  -0.112984     -0.300498  -0.112985     0.330109  -0.883029
5.280000       0.316498  -0.886650     -0.304945  -0.109699     -0.304946  -0.109699     0.316498  -0.886650
5.295000       0.302873  -0.890049     -0.309417  -0.106314     -0.309418  -0.106314     0.302874  -0.890048
5.310000       0.289237  -0.893236     -0.313914  -0.102819     -0.313915  -0.102819     0.289237  -0.893235
5.325000       0.275593  -0.896219     -0.318434  -0.099202     -0.318434  -0.099203     0.275593  -0.896219
5.340000       0.261937  -0.899009     -0.322972  -0.095455     -0.322972  -0.095455     0.261937  -0.899009
5.355000       0.248266  -0.901612     -0.327521  -0.091567     -0.327522  -0.091566     0.248267  -0.901612
5.370000       0.234579  -0.904034     -0.332074  -0.087529     -0.332074  -0.087530     0.234579  -0.904034
5.385000       0.220867  -0.906279     -0.336621  -0.083335     -0.336621  -0.083335     0.220867  -0.906280
5.400000       0.207121  -0.908351     -0.341150  -0.078978     -0.341151  -0.078978     0.207121  -0.908351
5.415000       0.193338  -0.910249     -0.345650  -0.074455     -0.345650  -0.074454     0.193338  -0.910249
5.430000       0.179508  -0.911970     -0.350108  -0.069764     -0.350108  -0.069763     0.179508  -0.911970
5.445000       0.165624  -0.913510     -0.354510  -0.064905     -0.354510  -0.064905     0.165624  -0.913511
5.460000       0.151679  -0.914864     -0.358845  -0.059882     -0.358845  -0.059882     0.151679  -0.914864
5.475000       0.137670  -0.916021     -0.363100  -0.054698     -0.363100  -0.054698     0.137670  -0.916021
5.490000       0.123590  -0.916972     -0.367264  -0.049361     -0.367264  -0.049361     0.123590  -0.916972
5.505000       0.109439  -0.917705     -0.371329  -0.043879     -0.371329  -0.043878     0.109439  -0.917705
5.520000       0.095220  -0.918208     -0.375287  -0.038261     -0.375287  -0.038260     0.095220  -0.918208
5.535000       0.080934  -0.918467     -0.379133  -0.032516     -0.379132  -0.032516     0.080934  -0.918468
5.550000       0.066586  -0.918471     -0.382862  -0.026657     -0.382862  -0.026657     0.066586  -0.918471
5.565000       0.052186  -0.918205     -0.386474  -0.020695     -0.386474  -0.020695     0.052186  -0.918206
5.580000       0.037744  -0.917660     -0.389971  -0.014639     -0.389971  -0.014639     0.037744  -0.917661
5.595000       0.023273  -0.916826     -0.393354  -0.008500     -0.393354  -0.008500     0.023273  -0.916826
5.610000       0.008787  -0.915694     -0.396630  -0.002284     -0.396630  -0.002284     0.008787  -0.915694
5.625000       -0.005698  -0.914260     -0.399805  0.004000     -0.399804  0.004000     -0.005698  -0.914260
5.640000       -0.020165  -0.912519     -0.402886  0.010349     -0.402885  0.010348     -0.020166  -0.912519
5.655000       -0.034598  -0.910472     -0.405881  0.016759     -0.405881  0.016759     -0.034598  -0.910472
5.670000       -0.048980  -0.908121     -0.408800  0.023232     -0.408800  0.023231     -0.048980  -0.908121
5.685000       -0.063294  -0.905470     -0.411651  0.029768     -0.411651  0.029768     -0.063294  -0.905470
5.700000       -0.077526  -0.902527     -0.414442  0.036373     -0.414442  0.036373     -0.077526  -0.902527
5.715000       -0.091662  -0.899301     -0.417178  0.043054     -0.417178  0.043054     -0.091662  -0.899301
5.730000       -0.105689  -0.895802     -0.419865  0.049818     -0.419865  0.049818     -0.105689  -0.895803
5.745000       -0.119601  -0.892044     -0.422507  0.056676     -0.422507  0.056675     -0.119601  -0.892045
5.760000       -0.133387  -0.888040     -0.425102  0.063638     -0.425102  0.063638     -0.133389  -0.888040
5.775000       -0.147050  -0.883802     -0.427650  0.070716     -0.427651  0.070716     -0.147050  -0.883803
5.790000       -0.160583  -0.879345     -0.430147  0.077921     -0.430147  0.077921     -0.160583  -0.879345
5.805000       -0.173988  -0.874679     -0.432585  0.085265     -0.432585  0.085265     -0.173988  -0.874680
5.820000       -0.187271  -0.869817     -0.434955  0.092757     -0.434956  0.092757     -0.187272  -0.869817
5.835000       -0.200437  -0.864767     -0.437246  0.100407     -0.437246  0.100407     -0.200438  -0.864767
5.850000       -0.213492  -0.859536     -0.439444  0.108220     -0.439444  0.108220     -0.213492  -0.859537
5.865000       -0.226446  -0.854129     -0.441533  0.116202     -0.441534  0.116202     -0.226446  -0.854130
5.880000       -0.239307  -0.848547     -0.443499  0.124354     -0.443500  0.124354     -0.239307  -0.848548
5.895000       -0.252085  -0.842790     -0.445325  0.132676     -0.445325  0.132676     -0.252085  -0.842790
5.910000       -0.264786  -0.836853     -0.446994  0.141164     -0.446994  0.141164     -0.264786  -0.836854
5.925000       -0.277419  -0.830731     -0.448490  0.149812     -0.448490  0.149812     -0.277420  -0.830731
5.940000       -0.289989  -0.824414     -0.449798  0.158611     -0.449798  0.158611     -0.289991  -0.824414
5.955000       -0.302500  -0.817892     -0.450905  0.167550     -0.450906  0.167550     -0.302501  -0.817892
5.970000       -0.314951  -0.811153     -0.451801  0.176615     -0.451801  0.176615     -0.314952  -0.811154
5.985000       -0.327341  -0.804185     -0.452476  0.185793     -0.452476  0.185793     -0.327342  -0.804185
6.000000       -0.339665  -0.796974     -0.452925  0.195068     -0.452925  0.195068     -0.339665  -0.796974
6.015000       -0.351914  -0.789506     -0.453143  0.204423     -0.453143  0.204423     -0.351914  -0.789506
6.030000       -0.364077  -0.781771     -0.453131  0.213843     -0.453131  0.213843     -0.364077  -0.781771
6.045000       -0.376140  -0.773758     -0.452892  0.223311     -0.452892  0.223311     -0.376140  -0.773758
6.060000       -0.388087  -0.765458     -0.452430  0.232817     -0.452430  0.232817     -0.388088  -0.765457
6.075000       -0.399899  -0.756865     -0.451752  0.242346     -0.451752  0.242346     -0.399899  -0.756865
6.090000       -0.411557  -0.747977     -0.450868  0.251889     -0.450868  0.251889     -0.411557  -0.747977
6.105000       -0.423039  -0.738794     -0.449788  0.261438     -0.449788  0.261438     -0.423041  -0.738793
6.120000       -0.434325  -0.729320     -0.448522  0.270990     -0.448522  0.270990     -0.434327  -0.729319
6.135000       -0.445395  -0.719560     -0.447083  0.280544     -0.447083  0.280544     -0.445395  -0.719560
6.150000       -0.456227  -0.709527     -0.445481  0.290099     -0.445481  0.290099     -0.456227  -0.709527
6.165000       -0.466805  -0.699233     -0.443726  0.299661     -0.443726  0.299661     -0.466806  -0.699232
6.180000       -0.477113  -0.688692     -0.441825  0.309236     -0.441826  0.309236     -0.477113  -0.688692
6.195000       -0.487138  -0.677924     -0.439785  0.318835     -0.439786  0.318835     -0.487138  -0.677924
6.210000       -0.496869  -0.666948     -0.437610  0.328466     -0.437610  0.328466     -0.496869  -0.666948
6.225000       -0.506302  -0.655785     -0.435297  0.338143     -0.435297  0.338143     -0.506301  -0.655785
6.240000       -0.515431  -0.644453     -0.432846  0.347877     -0.432846  0.347877     -0.515431  -0.644453
6.255000       -0.524260  -0.632974     -0.430250  0.357679     -0.430250  0.357679     -0.524260  -0.632974
6.270000       -0.532789  -0.621365     -0.427499  0.367562     -0.427499  0.367562     -0.532789  -0.621365
6.285000       -0.541026  -0.609646     -0.424581  0.377535     -0.424581  0.377535     -0.541026  -0.609646
6.300000       -0.548980  -0.597829     -0.421480  0.387605     -0.421480  0.387605     -0.548980  -0.597829
6.315000       -0.556662  -0.585925     -0.418179  0.397776     -0.418180  0.397776     -0.556661  -0.585926
6.330000       -0.564084  -0.573946     -0.414660  0.408051     -0.414661  0.408051     -0.564084  -0.573946
6.345000       -0.571259  -0.561894     -0.410903  0.418427     -0.410903  0.418427     -0.571259  -0.561894
6.360000       -0.578199  -0.549771     -0.406886  0.428899     -0.406886  0.428899     -0.578199  -0.549772
6.375000       -0.584917  -0.537577     -0.402590  0.439457     -0.402590  0.439458     -0.584918  -0.537577
6.390000       -0.591425  -0.525304     -0.397995  0.450091     -0.397995  0.450091     -0.591425  -0.525304
6.405000       -0.597726  -0.512947     -0.393085  0.460781     -0.393085  0.460781     -0.597727  -0.512947
6.420000       -0.603830  -0.500494     -0.387845  0.471511     -0.387845  0.471511     -0.603830  -0.500495
6.435000       -0.609736  -0.487936     -0.382264  0.482257     -0.382264  0.482257     -0.609737  -0.487936
6.450000       -0.615444  -0.475257     -0.376333  0.492998     -0.376332  0.492999     -0.615444  -0.475258
6.465000       -0.620948  -0.462446     -0.370046  0.503709     -0.370046  0.503709     -0.620949  -0.462446
6.480000       -0.626239  -0.449491     -0.363405  0.514365     -0.363405  0.514365     -0.626239  -0.449492
6.495000       -0.631304  -0.436381     -0.356412  0.524942     -0.356412  0.524942     -0.631304  -0.436381
6.510000       -0.636126  -0.423107     -0.349074  0.535417     -0.349074  0.535417     -0.636126  -0.423107
6.525000       -0.640686  -0.409664     -0.341401  0.545768     -0.341401  0.545768     -0.640687  -0.409663
6.540000       -0.644964  -0.396048     -0.333407  0.555978     -0.333407  0.555978     -0.644965  -0.396047
6.555000       -0.648937  -0.382261     -0.325108  0.566031     -0.325108  0.566031     -0.648937  -0.382261
6.570000       -0.652578  -0.368311     -0.316518  0.575916     -0.316519  0.575916     -0.652578  -0.368311
6.585000       -0.655866  -0.354205     -0.307661  0.585624     -0.307661  0.585624     -0.655866  -0.354205
6.600000       -0.658776  -0.339962     -0.298551  0.595151     -0.298551  0.595151     -0.658777  -0.339961
6.615000       -0.661289  -0.325595     -0.289207  0.604498     -0.289207  0.604498     -0.661289  -0.325595
6.630000       -0.663385  -0.311131     -0.279645  0.613667     -0.279645  0.613667     -0.663385  -0.311131
6.645000       -0.665049  -0.296594     -0.269878  0.622666     -0.269878  0.622667     -0.665048  -0.296594
6.660000       -0.666267  -0.282014     -0.259916  0.631505     -0.259916  0.631505     -0.666267  -0.282014
6.675000       -0.667035  -0.267419     -0.249768  0.640195     -0.249768  0.640195     -0.667035  -0.267419
6.690000       -0.667349  -0.252841     -0.239435  0.648748     -0.239436  0.648748     -0.667349  -0.252841
6.705000       -0.667211  -0.238313     -0.228918  0.657177     -0.228918  0.657177     -0.667211  -0.238313
6.720000       -0.666629  -0.223862     -0.218208  0.665497     -0.218210  0.665497     -0.666629  -0.223862
6.735000       -0.665613  -0.209520     -0.207301  0.673716     -0.207301  0.673716     -0.665613  -0.209520
6.750000       -0.664179  -0.195311     -0.196179  0.681845     -0.196179  0.681845     -0.664179  -0.195311
6.765000       -0.662345  -0.181258     -0.184828  0.689888     -0.184828  0.689889     -0.662345  -0.181258
6.780000       -0.660134  -0.167379     -0.173228  0.697849     -0.173228  0.697849     -0.660134  -0.167380
6.795000       -0.657568  -0.153690     -0.161357  0.705723     -0.161357  0.705724     -0.657568  -0.153690
6.810000       -0.654671  -0.140199     -0.149195  0.713505     -0.149195  0.713505     -0.654671  -0.140199
6.825000       -0.651468  -0.126910     -0.136720  0.721180     -0.136720  0.721181     -0.651468  -0.126910
6.840000       -0.647981  -0.113824     -0.123909  0.728734     -0.123909  0.728734     -0.647981  -0.113824
6.855000       -0.644231  -0.100936     -0.110746  0.736142     -0.110746  0.736142     -0.644232  -0.100936
6.870000       -0.640237  -0.088239     -0.097213  0.743379     -0.097213  0.743380     -0.640237  -0.088239
6.885000       -0.636011  -0.075720     -0.083300  0.750416     -0.083300  0.750416     -0.636012  -0.075720
6.900000       -0.631566  -0.063367     -0.069000  0.757218     -0.068999  0.757218     -0.631566  -0.063367
6.915000       -0.626904  -0.051163     -0.054310  0.763750     -0.054308  0.763751     -0.626904  -0.051164
6.930000       -0.622027  -0.039095     -0.039232  0.769978     -0.039230  0.769978     -0.622028  -0.039095
6.945000       -0.616930  -0.027148     -0.023777  0.775863     -0.023777  0.775863     -0.616931  -0.027148
6.960000       -0.611604  -0.015308     -0.007959  0.781372     -0.007959  0.781372     -0.611604  -0.015308
6.975000       -0.606034  -0.003569     0.008199  0.786471     0.008201  0.786471     -0.606034  -0.003568
6.990000       -0.600203  0.008079     0.024676  0.791131     0.024676  0.791131     -0.600203  0.008079
7.005000       -0.594090  0.019634     0.041439  0.795327     0.041439  0.795327     -0.594091  0.019634
7.020000       -0.587674  0.031094     0.058458  0.799038     0.058458  0.799038     -0.587674  0.031094
7.035000       -0.580932  0.042448     0.075695  0.802249     0.075695  0.802249     -0.580932  0.042448
7.050000       -0.573840  0.053681     0.093116  0.804952     0.093116  0.804952     -0.573840  0.053681
7.065000       -0.566377  0.064771     0.110684  0.807142     0.110684  0.807142     -0.566377  0.064771
7.080000       -0.558526  0.075691     0.128366  0.808824     0.128366  0.808823     -0.558526  0.075691
7.095000       -0.550273  0.086410     0.146125  0.810004     0.146125  0.810004     -0.550272  0.086409
7.110000       -0.541606  0.096890     0.163935  0.810697     0.163935  0.810697     -0.541606  0.096890
7.125000       -0.532524  0.107095     0.181770  0.810919     0.181770  0.810919     -0.532524  0.107095
7.140000       -0.523029  0.116982     0.199611  0.810692     0.199611  0.810692     -0.523029  0.116982
7.155000       -0.513131  0.126508     0.217444  0.810037     0.217444  0.810037     -0.513131  0.126508
7.170000       -0.502846  0.135633     0.235260  0.808978     0.235260  0.808978     -0.502845  0.135633
7.185000       -0.492197  0.144317     0.253057  0.807537     0.253058  0.807537     -0.492197  0.144316
7.200000       -0.481216  0.152520     0.270842  0.805734     0.270842  0.805734     -0.481216  0.152520
7.215000       -0.469938  0.160215     0.288620  0.803587     0.288620  0.803587     -0.469938  0.160215
7.230000       -0.458404  0.167373     0.306407  0.801109     0.306407  0.801109     -0.458404  0.167373
7.245000       -0.446659  0.173974     0.324222  0.798307     0.324222  0.798308     -0.446659  0.173973
7.260000       -0.434751  0.180004     0.342085  0.795183     0.342085  0.795183     -0.434750  0.180004
7.275000       -0.422728  0.185458     0.360014  0.791732     0.360014  0.791733     -0.422728  0.185458
7.290000       -0.410640  0.190338     0.378033  0.787942     0.378033  0.787942     -0.410640  0.190338
7.305000       -0.398533  0.194656     0.396160  0.783794     0.396160  0.783794     -0.398533  0.194655
7.320000       -0.386451  0.198426     0.414411  0.779262     0.414411  0.779262     -0.386452  0.198424
7.335000       -0.374435  0.201671     0.432797  0.774316     0.432797  0.774316     -0.374435  0.201671
7.350000       -0.362516  0.204422     0.451325  0.768917     0.451325  0.768918     -0.362517  0.204422
7.365000       -0.350723  0.206711     0.469988  0.763030     0.469989  0.763030     -0.350724  0.206711
7.380000       -0.339075  0.208573     0.488783  0.756608     0.488783  0.756609     -0.339076  0.208573
7.395000       -0.327584  0.210045     0.507687  0.749611     0.507689  0.749611     -0.327585  0.210045
7.410000       -0.316253  0.211165     0.526677  0.741995     0.526678  0.741996     -0.316254  0.211164
7.425000       -0.305080  0.211964     0.545715  0.733722     0.545716  0.733722     -0.305081  0.211964
7.440000       -0.294053  0.212476     0.564759  0.724757     0.564759  0.724757     -0.294053  0.212476
7.455000       -0.283154  0.212724     0.583759  0.715068     0.583759  0.715068     -0.283155  0.212724
7.470000       -0.272362  0.212728     0.602656  0.704638     0.602656  0.704638     -0.272363  0.212729
7.485000       -0.261651  0.212501     0.621392  0.693448     0.621392  0.693448     -0.261651  0.212501
7.500000       -0.250992  0.212044     0.639900  0.681500     0.639900  0.681500     -0.250992  0.212045
7.515000       -0.240357  0.211355     0.658115  0.668797     0.658117  0.668796     -0.240357  0.211355
7.530000       -0.229720  0.210418     0.675974  0.655355     0.675974  0.655355     -0.229720  0.210418
7.545000       -0.219057  0.209212     0.693413  0.641204     0.693413  0.641204     -0.219057  0.209212
7.560001       -0.208350  0.207708     0.710375  0.626377     0.710375  0.626377     -0.208350  0.207708
7.575000       -0.197589  0.205869     0.726807  0.610924     0.726808  0.610924     -0.197589  0.205869
7.590000       -0.186769  0.203654     0.742671  0.594891     0.742671  0.594891     -0.186769  0.203654
7.605000       -0.175897  0.201021     0.757927  0.578343     0.757927  0.578343     -0.175898  0.201021
7.620000       -0.164992  0.197921     0.772556  0.561338     0.772556  0.561338     -0.164992  0.197922
7.635000       -0.154078  0.194312     0.786545  0.543941     0.786545  0.543941     -0.154079  0.194312
7.650000       -0.143196  0.190149     0.799894  0.526216     0.799894  0.526216     -0.143196  0.190149
7.665000       -0.132392  0.185397     0.812613  0.508225     0.812613  0.508225     -0.132392  0.185397
7.680001       -0.121724  0.180024     0.824725  0.490021     0.824725  0.490021     -0.121724  0.180024
7.695000       -0.111258  0.174011     0.836259  0.471654     0.836259  0.471654     -0.111258  0.174011
7.710000       -0.101066  0.167346     0.847255  0.453166     0.847255  0.453166     -0.101066  0.167346
7.725000       -0.091223  0.160032     0.857758  0.434584     0.857758  0.434584     -0.091223  0.160032
7.740000       -0.081808  0.152084     0.867817  0.415926     0.867817  0.415926     -0.081809  0.152084
7.755000       -0.072900  0.143530     0.877483  0.397198     0.877483  0.397198     -0.072900  0.143529
7.770000       -0.064572  0.134412     0.886805  0.378392     0.886805  0.378392     -0.064572  0.134412
7.785000       -0.056893  0.124788     0.895828  0.359489     0.895828  0.359489     -0.056893  0.124787
7.800001       -0.049925  0.114723     0.904592  0.340457     0.904592  0.340457     -0.049925  0.114723
7.815000       -0.043717  0.104298     0.913129  0.321252     0.913129  0.321252     -0.043718  0.104298
7.830000       -0.038308  0.093601     0.921456  0.301826     0.921456  0.301826     -0.038308  0.093601
7.845000       -0.033719  0.082725     0.929582  0.282120     0.929582  0.282120     -0.033719  0.082726
7.860000       -0.029959  0.071771     0.937498  0.262072     0.937499  0.262072     -0.029959  0.071771
7.875000       -0.027018  0.060836     0.945183  0.241622     0.945183  0.241620     -0.027018  0.060836
7.890000       -0.024869  0.050020     0.952597  0.220706     0.952598  0.220706     -0.024869  0.050020
7.905000       -0.023469  0.039415     0.959688  0.199269     0.959688  0.199269     -0.023469  0.039415
7.920001       -0.022760  0.029105     0.966386  0.177266     0.966386  0.177266     -0.022761  0.029105
7.935000       -0.022670  0.019165     0.972609  0.154659     0.972609  0.154659     -0.022670  0.019165
7.950000       -0.023111  0.009654     0.978264  0.131427     0.978264  0.131427     -0.023112  0.009654
7.965000       -0.023991  0.000616     0.983251  0.107562     0.983250  0.107562     -0.023991  0.000616
7.980000       -0.025207  -0.007922     0.987459  0.083081     0.987459  0.083081     -0.025207  -0.007922
7.995000       -0.026653  -0.015954     0.990780  0.058009     0.990780  0.058009     -0.026653  -0.015954
8.010000       -0.028224  -0.023493     0.993104  0.032403     0.993104  0.032403     -0.028224  -0.023493
8.025000       -0.029819  -0.030570     0.994327  0.006336     0.994326  0.006334     -0.029819  -0.030570
8.040001       -0.031342  -0.037237     0.994351  -0.020105     0.994351  -0.020105     -0.031342  -0.037237
8.055000       -0.032710  -0.043564     0.993095  -0.046804     0.993095  -0.046804     -0.032710  -0.043564
8.070000       -0.033853  -0.049636     0.990489  -0.073636     0.990489  -0.073636     -0.033853  -0.049636
8.085000       -0.034717  -0.055551     0.986484  -0.100461     0.986484  -0.100461     -0.034717  -0.055551
8.100000       -0.035269  -0.061417     0.981053  -0.127124     0.981053  -0.127124     -0.035269  -0.061417
8.115000       -0.035496  -0.067352     0.974190  -0.153471     0.974190  -0.153470     -0.035496  -0.067352
8.130000       -0.035408  -0.073472     0.965916  -0.179336     0.965916  -0.179336     -0.035408  -0.073472
8.145000       -0.035038  -0.079895     0.956276  -0.204563     0.956276  -0.204563     -0.035038  -0.079895
8.160001       -0.034441  -0.086733     0.945341  -0.228995     0.945341  -0.228995     -0.034441  -0.086733
8.175000       -0.033695  -0.094089     0.933206  -0.252489     0.933206  -0.252488     -0.033695  -0.094089
8.190000       -0.032897  -0.102050     0.919988  -0.274913     0.919988  -0.274913     -0.032897  -0.102051
8.205000       -0.032163  -0.110691     0.905825  -0.296159     0.905825  -0.296159     -0.032163  -0.110691
