%# f in GHz     S1(1)1(1)              S1(1)2(1)              S2(1)1(1)              S2(1)2(1)
%#              Re         Im          Re         Im          Re         Im          Re         Im
%# Reference impedance at port 1 (mode 1):  47.7088394165039, port 2 (mode 1):  47.7088394165039 
0.900000       -0.811186  0.059687     -0.038559  -0.574074     -0.038560  -0.574073     -0.811186  0.059685
0.915000       -0.815025  0.076456     -0.049744  -0.565903     -0.049744  -0.565902     -0.815025  0.076454
0.930000       -0.818387  0.093259     -0.060514  -0.557610     -0.060514  -0.557609     -0.818387  0.093259
0.945000       -0.821281  0.110089     -0.070877  -0.549210     -0.070877  -0.549209     -0.821282  0.110087
0.960000       -0.823715  0.126930     -0.080843  -0.540720     -0.080842  -0.540719     -0.823716  0.126929
0.975000       -0.825695  0.143777     -0.090418  -0.532156     -0.090418  -0.532155     -0.825695  0.143777
0.990000       -0.827227  0.160621     -0.099613  -0.523531     -0.099613  -0.523531     -0.827228  0.160620
1.005000       -0.828317  0.177450     -0.108439  -0.514859     -0.108438  -0.514859     -0.828318  0.177450
1.020000       -0.828969  0.194258     -0.116904  -0.506152     -0.116904  -0.506152     -0.828970  0.194258
1.035000       -0.829189  0.211034     -0.125021  -0.497420     -0.125020  -0.497421     -0.829190  0.211034
1.050000       -0.828981  0.227768     -0.132799  -0.488674     -0.132799  -0.488674     -0.828982  0.227769
1.065000       -0.828349  0.244453     -0.140250  -0.479921     -0.140250  -0.479921     -0.828350  0.244453
1.080000       -0.827296  0.261076     -0.147384  -0.471168     -0.147384  -0.471168     -0.827297  0.261076
1.095000       -0.825829  0.277625     -0.154212  -0.462422     -0.154211  -0.462423     -0.825829  0.277625
1.110000       -0.823950  0.294092     -0.160742  -0.453688     -0.160742  -0.453689     -0.823951  0.294093
1.125000       -0.821668  0.310464     -0.166985  -0.444971     -0.166985  -0.444971     -0.821668  0.310466
1.140000       -0.818985  0.326732     -0.172949  -0.436273     -0.172949  -0.436274     -0.818986  0.326732
1.155000       -0.815912  0.342881     -0.178641  -0.427599     -0.178642  -0.427599     -0.815912  0.342882
1.170000       -0.812455  0.358901     -0.184070  -0.418950     -0.184071  -0.418950     -0.812454  0.358903
1.185000       -0.808621  0.374784     -0.189241  -0.410328     -0.189241  -0.410329     -0.808621  0.374784
1.200000       -0.804423  0.390515     -0.194160  -0.401737     -0.194161  -0.401737     -0.804422  0.390516
1.215000       -0.799868  0.406088     -0.198831  -0.393177     -0.198832  -0.393178     -0.799867  0.406089
1.230000       -0.794968  0.421493     -0.203261  -0.384652     -0.203261  -0.384652     -0.794968  0.421493
1.245000       -0.789735  0.436722     -0.207450  -0.376163     -0.207451  -0.376163     -0.789735  0.436722
1.260000       -0.784180  0.451769     -0.211405  -0.367714     -0.211406  -0.367713     -0.784179  0.451769
1.275000       -0.778316  0.466626     -0.215127  -0.359307     -0.215128  -0.359306     -0.778315  0.466626
1.290000       -0.772153  0.481293     -0.218620  -0.350945     -0.218621  -0.350945     -0.772153  0.481292
1.305000       -0.765704  0.495764     -0.221886  -0.342634     -0.221887  -0.342633     -0.765704  0.495764
1.320000       -0.758982  0.510036     -0.224929  -0.334377     -0.224929  -0.334377     -0.758981  0.510035
1.335000       -0.751994  0.524111     -0.227751  -0.326179     -0.227751  -0.326178     -0.751994  0.524111
1.350000       -0.744755  0.537986     -0.230356  -0.318045     -0.230356  -0.318044     -0.744754  0.537986
1.365000       -0.737271  0.551663     -0.232748  -0.309980     -0.232748  -0.309979     -0.737271  0.551663
1.380000       -0.729551  0.565145     -0.234932  -0.301989     -0.234932  -0.301989     -0.729551  0.565145
1.395000       -0.721602  0.578433     -0.236911  -0.294079     -0.236911  -0.294078     -0.721603  0.578431
1.410000       -0.713432  0.591527     -0.238693  -0.286253     -0.238693  -0.286252     -0.713433  0.591525
1.425000       -0.705044  0.604430     -0.240283  -0.278516     -0.240283  -0.278516     -0.705045  0.604429
1.440000       -0.696444  0.617144     -0.241687  -0.270875     -0.241686  -0.270874     -0.696445  0.617145
1.455000       -0.687636  0.629672     -0.242912  -0.263331     -0.242911  -0.263331     -0.687636  0.629672
1.470000       -0.678619  0.642014     -0.243965  -0.255889     -0.243965  -0.255889     -0.678619  0.642014
1.485000       -0.669398  0.654169     -0.244855  -0.248552     -0.244854  -0.248551     -0.669398  0.654170
1.500000       -0.659973  0.666139     -0.245588  -0.241321     -0.245588  -0.241321     -0.659973  0.666139
1.515000       -0.650345  0.677920     -0.246173  -0.234198     -0.246172  -0.234198     -0.650346  0.677921
1.530000       -0.640516  0.689513     -0.246616  -0.227183     -0.246616  -0.227183     -0.640516  0.689514
1.545000       -0.630487  0.700912     -0.246926  -0.220277     -0.246926  -0.220277     -0.630487  0.700913
1.560000       -0.620258  0.712116     -0.247109  -0.213477     -0.247109  -0.213477     -0.620259  0.712116
1.575000       -0.609833  0.723118     -0.247172  -0.206783     -0.247172  -0.206784     -0.609832  0.723120
1.590000       -0.599212  0.733916     -0.247120  -0.200193     -0.247120  -0.200194     -0.599212  0.733916
1.605000       -0.588400  0.744501     -0.246959  -0.193705     -0.246959  -0.193705     -0.588401  0.744502
1.620000       -0.577401  0.754871     -0.246693  -0.187314     -0.246694  -0.187315     -0.577402  0.754871
1.635000       -0.566221  0.765017     -0.246326  -0.181020     -0.246327  -0.181020     -0.566220  0.765018
1.650000       -0.554863  0.774936     -0.245862  -0.174817     -0.245862  -0.174818     -0.554864  0.774937
1.665000       -0.543337  0.784622     -0.245301  -0.168705     -0.245302  -0.168705     -0.543337  0.784623
1.680000       -0.531650  0.794070     -0.244646  -0.162680     -0.244646  -0.162681     -0.531648  0.794071
1.695000       -0.519808  0.803276     -0.243897  -0.156741     -0.243898  -0.156741     -0.519806  0.803277
